FoodCode	Seq.num	Start.date	End.date	Main.food.description
11513350	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik 33% Less Sugar
11513355	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik 33% Less Sugar
11513360	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik 33% Less Sugar
11513360	2	01/01/11 00:00:00	12/31/12 00:00:00	with 2% fat milk
11513365	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik 33% Less Sugar
11513365	2	01/01/11 00:00:00	12/31/12 00:00:00	with 1% fat milk
11513370	1	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Quik 33% Less Sugar
11513370	2	01/01/11 00:00:00	12/31/12 00:00:00	with fat free or nonfat milk
11513550	1	01/01/11 00:00:00	12/31/12 00:00:00	with 2% fat milk
11513600	1	01/01/11 00:00:00	12/31/12 00:00:00	with 1% fat milk
11513700	1	01/01/11 00:00:00	12/31/12 00:00:00	with fat free or nonfat milk
11514100	1	01/01/11 00:00:00	12/31/12 00:00:00	cocoa mix, NFS
11514100	2	01/01/11 00:00:00	12/31/12 00:00:00	Swiss Miss Hot Chocolate
11514100	3	01/01/11 00:00:00	12/31/12 00:00:00	Hershey's Hot Chocolate
11514100	4	01/01/11 00:00:00	12/31/12 00:00:00	Nestle's Hot Chocolate
11514100	5	01/01/11 00:00:00	12/31/12 00:00:00	Carnation Hot Chocolate
11514100	6	01/01/11 00:00:00	12/31/12 00:00:00	mint-flavored
11514300	1	01/01/11 00:00:00	12/31/12 00:00:00	Swiss Miss Sugar-Free Hot Cocoa Mix
11514300	2	01/01/11 00:00:00	12/31/12 00:00:00	Alba Sugar-Free Hot Cocoa Mix
11514300	3	01/01/11 00:00:00	12/31/12 00:00:00	Hills Bros. Sugar-Free Old Fashioned Hot Cocoa Mix
11514300	4	01/01/11 00:00:00	12/31/12 00:00:00	Nutri System Hot Chocolate
11514300	5	01/01/11 00:00:00	12/31/12 00:00:00	Carnation Sugar Free Hot Cocoa Mix
11514500	1	01/01/11 00:00:00	12/31/12 00:00:00	Ovaltine Sugar-Free Hot Cocoa
11515100	1	01/01/11 00:00:00	12/31/12 00:00:00	Chocolatina
11516000	1	01/01/11 00:00:00	12/31/12 00:00:00	Sugar-free Nestle's Quik
11516000	3	01/01/11 00:00:00	12/31/12 00:00:00	with 1% fat milk
11518050	1	01/01/11 00:00:00	12/31/12 00:00:00	Alba
11519000	1	01/01/11 00:00:00	12/31/12 00:00:00	made with strawberry Nestle's Quik powder
11519040	1	01/01/11 00:00:00	12/31/12 00:00:00	ns as to milk or drink
11519040	2	01/01/11 00:00:00	12/31/12 00:00:00	strawberry milk
11519040	3	01/01/11 00:00:00	12/31/12 00:00:00	vanilla milk
11519040	4	01/01/11 00:00:00	12/31/12 00:00:00	banana milk
11519040	5	01/01/11 00:00:00	12/31/12 00:00:00	orange cream milk
11519105	1	01/01/11 00:00:00	12/31/12 00:00:00	2% fat milk
11519105	2	01/01/11 00:00:00	12/31/12 00:00:00	strawberry milk
11519105	3	01/01/11 00:00:00	12/31/12 00:00:00	vanilla milk
11519105	4	01/01/11 00:00:00	12/31/12 00:00:00	banana milk
11519105	5	01/01/11 00:00:00	12/31/12 00:00:00	orange cream milk
11519105	6	01/01/11 00:00:00	12/31/12 00:00:00	Nestle Quik Strawberry Milk
11519200	1	01/01/11 00:00:00	12/31/12 00:00:00	1% fat milk
11519200	2	01/01/11 00:00:00	12/31/12 00:00:00	strawberry milk
11519200	3	01/01/11 00:00:00	12/31/12 00:00:00	vanilla milk
11519200	4	01/01/11 00:00:00	12/31/12 00:00:00	banana milk
11519200	5	01/01/11 00:00:00	12/31/12 00:00:00	orange cream milk
11519200	6	01/01/11 00:00:00	12/31/12 00:00:00	flavored milk from school lunch or breakfast program
11519205	1	01/01/11 00:00:00	12/31/12 00:00:00	fat free or nonfat milk
11519205	2	01/01/11 00:00:00	12/31/12 00:00:00	strawberry milk
11519205	3	01/01/11 00:00:00	12/31/12 00:00:00	vanilla milk
11519205	4	01/01/11 00:00:00	12/31/12 00:00:00	banana milk
