"Food.code"	"Start.date"	"End.date"	"Main.food.description"	"Fortification.identifier"
11511300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, chocolate, skim milk-based"	1
11511400	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, chocolate, lowfat milk-based"	1
11512000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa, hot chocolate, not from dry mix, made with whole milk"	2
11512500	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Hot chocolate, Puerto Rican style, made with whole milk"	2
11512510	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Hot chocolate, Puerto Rican style, made with low fat milk"	2
11513000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, milk added, NS as to type of milk"	2
11513100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, whole milk added"	2
11513150	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, reduced fat milk added"	2
11513200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, lowfat milk added"	2
11513300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, skim milk added"	2
11513350	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, reduced sugar, milk added, NS as to type of milk"	2
11513355	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, reduced sugar, whole milk added"	2
11513360	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, reduced sugar, reduced fat milk added"	2
11513365	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, reduced sugar, lowfat milk added"	2
11513370	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture, reduced sugar, skim milk added"	2
11513400	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chocolate syrup, milk added, NS as to type of milk"	2
11513500	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chocolate syrup, whole milk added"	2
11513550	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chocolate syrup, reduced fat milk added"	2
11513600	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chocolate syrup, lowfat milk added"	2
11513700	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chocolate syrup, skim milk added"	2
11514100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa, sugar, and dry milk mixture, water added"	2
11514300	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added"	2
11514500	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added"	2
11515100	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style"	2
11516000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added"	2
11518050	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate"	0
11519000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk beverage, made with whole milk, flavors other than chocolate"	2
11519040	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, flavors other than chocolate, NFS"	1
11519050	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, flavors other than chocolate, whole milk-based"	1
11519105	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, flavors other than chocolate, reduced fat milk-based"	1
11519200	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, flavors other than chocolate, lowfat milk-based"	1
11519205	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, flavors other than chocolate, skim-milk based"	1
11520000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, malted, unfortified, NS as to flavor, made with milk"	2
11521000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, malted, unfortified, chocolate, made with milk"	2
11522000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, malted, unfortified, natural flavor, made with milk"	2
11525000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, malted, fortified, natural flavor, made with milk"	2
11526000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, malted, fortified, chocolate, made with milk"	2
11527000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, malted, fortified, NS as to flavor, made with milk"	2
11531000	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Eggnog, made with whole milk"	1
