"Modification.code"	"Start.date"	"End.date"	"Modification.description"	"Food.code"
101330	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Wheat, cream of, cooked, quick, fat added in cooking W/ MILK"	56207230
101335	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Whole wheat cereal, wheat and barley, cooked, fat not added in cooking  W/ MILK"	56207300
101336	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41104010
101337	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, dry, cooked, NS as to type, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41101010
101338	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"White beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41101110
101339	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Black, brown, or Bayo beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41102010
101340	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Lima beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41103010
101341	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Red kidney beans, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41106010
101342	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Mung beans, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41108010
101343	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cowpeas, dry, cooked, fat added in cooking W/ ANIMAL FAT OR MEAT DRIPPINGS"	41301010
101347	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Ham and noodles, no sauce (mixture) W/O FAT"	27220210
101348	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Ham or pork and rice, no sauce (mixture) W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	27220310
101349	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Ham or pork and rice, no sauce (mixture) W/ BUTTER, NFS"	27220310
101350	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Ham or pork and rice, no sauce (mixture) W/O FAT"	27220310
101356	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cauliflower, batter-dipped, fried W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75409020
101357	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chicken, NS as to part, fried, no coating, NS as to skin eaten W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	24104000
101361	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Chicken, drumstick, fried, no coating, skin not eaten W/ O FAT"	24144220
200058	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, cooked, from canned, fat added in cooking W/ BUTTER, NFS"	75205033
200060	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Refried beans W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	41205010
200135	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carrots, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	73102221
200157	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Mushrooms, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75219021
200166	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cabbage, Chinese, cooked, fat added in cooking W/ BUTTER, NFS"	75210020
200167	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Onions, mature, cooked or sauteed, NS as to form, fat added in cooking W/ BUTTER, NFS"	75221020
200168	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peppers, green, cooked, fat added in cooking W/ BUTTER, NFS"	75226020
200170	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Broccoli, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"	72201220
200172	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Spinach, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	72125221
200188	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Milk, malted, fortified, NS as to flavor, made with milk W/ WHOLE MILK"	11527000
200208	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Okra, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75220022
200220	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, white, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	75216222
