Food.code	Seq.num	Start.date	End.date	Additional.food.description
11480030	1	01/01/13 00:00:00	12/31/14 00:00:00	YoBaby_Plus_Fruit_&_Cereal_with_iron
11480040	1	01/01/13 00:00:00	12/31/14 00:00:00	YoBaby_Plus_Fruit_&_Cereal_with_DHA
11511000	1	01/01/13 00:00:00	12/31/14 00:00:00	NS_as_to_milk_or_drink
11511300	1	01/01/13 00:00:00	12/31/14 00:00:00	nonfat_milk
11511400	3	01/01/13 00:00:00	12/31/14 00:00:00	Hersheys_Chocolate_milk
11511550	1	01/01/13 00:00:00	12/31/14 00:00:00	TruMoo
11511550	2	01/01/13 00:00:00	12/31/14 00:00:00	less_sugar
11511600	1	01/01/13 00:00:00	12/31/14 00:00:00	NS_as_to_type_of_milk
11511600	2	01/01/13 00:00:00	12/31/14 00:00:00	regular_reduced_or_less_sugar
11511610	1	01/01/13 00:00:00	12/31/14 00:00:00	regular_reduced_or_less_sugar
11511700	1	01/01/13 00:00:00	12/31/14 00:00:00	NS_as_to_type_of_milk
11512010	1	01/01/13 00:00:00	12/31/14 00:00:00	whole_2%_or_reduced_fat_milk
11512010	2	01/01/13 00:00:00	12/31/14 00:00:00	NS_as_to_milk
11512010	3	01/01/13 00:00:00	12/31/14 00:00:00	evaporated_milk
11512010	4	01/01/13 00:00:00	12/31/14 00:00:00	chocolate_espanol
11512010	5	01/01/13 00:00:00	12/31/14 00:00:00	chocolate_caliente
11512010	6	01/01/13 00:00:00	12/31/14 00:00:00	McDonalds
11512010	7	01/01/13 00:00:00	12/31/14 00:00:00	Starbucks
11512010	8	01/01/13 00:00:00	12/31/14 00:00:00	Dunkin_Donuts
11512010	9	01/01/13 00:00:00	12/31/14 00:00:00	made_from_syrup_tablet_or_bar
11512020	1	01/01/13 00:00:00	12/31/14 00:00:00	low_fat_fat_free_skim_or_1%_milk
11512020	2	01/01/13 00:00:00	12/31/14 00:00:00	chocolate_espanol
11512020	3	01/01/13 00:00:00	12/31/14 00:00:00	chocolate_caliente
11512020	4	01/01/13 00:00:00	12/31/14 00:00:00	Starbucks
11512020	5	01/01/13 00:00:00	12/31/14 00:00:00	made_from_syrup_tablet_or_bar
