Main.food.description	FoodID
Spaghetti_with_tomato_sauce_and_poultry_W_O_FAT	58132910.207677
Beef_and_macaroni_with_cheese_sauce_mixture_W_O_FAT	27212050.207660
Peas_green_cooked_from_canned_fat_added_in_cooking_W_BUTTER_NFS	75224033.100006
Cappuccino_decaffeinated_W_2_MILK	92162000.207157
Broccoli_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	72201221.200428
Chicken_breast_fried_no_coating_skin_not_eaten_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	24124120.205407
Beans_string_green_canned_low_sodium_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	75205130.205486
Gravy_beef_or_meat_home_recipe_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	28500070.206621
Vegetables_NS_as_to_type_cooked_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75200120.206529
Cappuccino_W_2_MILK	92161000.101315
Refried_beans_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	41205010.200060
Kale_cooked_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	72119221.100780
Milk_shake_homemade_or_fountain_type_flavors_other_than_chocolate_W_2_MILK	11541120.201586
Milk_shake_homemade_or_fountain_type_chocolate_W_2_MILK	11541110.100566
Ratatouille_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75316050.203436
Rice_pilaf_W_O_FAT	58162310.100991
Greens_cooked_from_fresh_fat_added_in_cooking_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	72118221.206263
Lima_beans_dry_cooked_fat_added_in_cooking_W_MARGARINE_NFS	41103010.202637
Carrots_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS	73102221.200135
Broccoli_cooked_from_fresh_fat_added_in_cooking_W_BUTTER_NFS	72201221.100033
Beans_string_green_canned_low_sodium_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75205130.100149
Gravy_beef_or_meat_home_recipe_W_O_FAT	28500070.206644
Asparagus_cooked_from_frozen_fat_added_in_cooking_W_BUTTER_NFS	75202022.201917
Rice_with_beans_and_pork_W_ANIMAL_FAT_OR_MEAT_DRIPPINGS	58160140.207149
Beans_string_cooked_from_frozen_NS_as_to_color_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_	75204982.202103
