Main.food.description	Portion	portionwgt	FoodCode	ModCode
Cracker_cheese_Cheez_its_Cheese_Nips_Goldfish_	single serving bag (1 oz)	35	54304000	
Cucumber_cooked_no_salt_or_fat_added_	cup	185	75216710	900000
Cucumber_cooked_with_salt_no_fat_added_	cup	180	75216710	
Cupcake_not_chocolate_with_icing_or_filling_Twinkies_Tastykake_Krimpets_Little_Debbie_Snack_Cakes_Hostess_Snowballs_	medium cupcake (1.4 oz)	40	53109200	
Djenkol_Bean	cup	164	41302200	
Djenkol_Bean_1_portion_1_tbs_	portion	10	41302200	
Double_cheeseburger_with_ketchup_on_bun	double cheeseburger	165	27510330	
Dried_Fish_100_grams_	ounce(s) cooked, no bone	100	26100170	
Dried_Fish_Soup	coffee cup (6 fl oz)	236	27250900	
Dried_Fish_Soup_Real_	coffee cup (6 fl oz)	236	27250900	
Dried_Fried_Fish	ounce(s)	85	26100170	
Egg_boiled	large egg(s)	50	31103010	
Egg_fried_with_animal_fat	large egg(s)	46	31105060	
Egg_fried_with_vegetable_oil	large egg(s)	46	31105030	
Egg_Noodles_Yellow_	cup	55	56112000	
Egg_Roll_Pork_Fried_	egg roll	64	58110130	
Egg_white_omelet_cooked_with_vegetable_oil	cup	165	32400065	
Eggplant_cooked_no_salt_or_fat_added_	slice	54	75217010	
Eggplant_cooked_no_salt_or_fat_added_	cup, cubes	96	75217010	
Eggplant_cooked_with_salt_and_margarine_	cup, cubes	101	75217020	
Eggplant_cooked_with_salt_no_fat_added_	cup, cubes	101	75217020	
Eggs_boiled	large egg(s)	50	31103010	
Eggs_fried_with_butter	large egg(s)	46	31105040	
Eggs_fried_with_vegetable_oil	large egg(s)	46	31105030	
Ei_Kyar_Kway_1_prot_1_8_a_churro_	portion	10	53520201	
Ellse_1_piece_	piece (1/12 of 2-layer cake)	24	53118201	
Exo_Protein_Bars	bar (1.2 oz)	35	53720611	
Fish_Paste	ounce(s)	28	26100135	
Fish_Paste_1_portion_1_4_tbs_	portion	4	26100135	
FIsh_Sauce_Teaspoon	teaspoon	4.5	27150210	
Fish_Soup	cup	236	27250900	
Fruit_juice_drink_reduced_sugar_with_thiamin_and_vitamin_C_Sunny_Delight_reduced_sugar_	cup (8 fl oz)	248	92552020	
Fruit_juice_drink_with_high_vitamin_C_Hi_C_Hawaiian_Punch_Tropicana_Twister_Ocean_Spray_Juice_Cocktail_Minute_Maid_	cup	248	92530610	
Gourd	cup	100	73303000	
Green_beans_fresh_cooked_with_salt_and_vegetable_oil_	cup	140	75205031	200494
Green_bell_pepper_cooked_no_salt_or_fat_added_	small pepper	71	75226010	
Green_Max_Yams_and_Multi_Grain_Cereal_1_serving_	cup	35	56299910	
Ground_beef_85_89_lean_cooked_ground_sirloin_ground_round_	ounce(s) cooked	28.35	21501300	
Halawa	ounce	28	91760001	
Ham_and_Swiss_Sandwich	sandwich	155	27520320	
Hard_candy_Jolly_Rancher_Life_Savers_Gob_Stoppers_Lollipop_	medium piece	5	91745020	
Hmong_Sausage	ounce(s) cooked, no bone	226.8	25221411	
Ho_Ho_Cupcake_chocolate_with_icing_or_filling_Ho_Ho_s_Tastykake_cupcakes_Swiss_Rolls_Oreo_Cakesters_		40	53108200	
Ho_Ho_Cupcake_chocolate_with_icing_or_filling_Ho_Hos_Tastykake_cupcakes_Swiss_Rolls_Oreo_Cakesters_		45	53108200	
Hon_Tsai_Tai	cup, shredded	56	72122101	
Hot_chocolate_Hershey_s_Nestle_s_Quick_made_from_mix_with_fat_free_skim_milk	cup	248	11513300	
Hot_chocolate_Hersheys_Nestles_Quick_made_from_mix_with_fat_free_skim_milk	cup	240	11513300	0
Hot_Pocket_Turnover_bacon_egg_and_cheese_Hot_Pockets_		64	58126400	
Ice_cream_cone_vanilla_ice_cream_or_other_flavors	cone and single dip	78	13120730	
Idli_2_1_4_across_Cake_or_pancake_made_with_rice_flour_and_or_dried_beans_Idli_		125	55702000	
Irish_Cream	ounce(s)	30	93301450	
Jack_Fruit_raw	cup	124	75208400	
Jack_Fruit_Smaller_Increments	cup	124	75208400	
Jenny_s_Cuisine_Muffin_bran_with_fruit_banana_lowfat	muffin (2-3/4 across) (include	58	52304040	
Jennys_Cuisine_Muffin_bran_with_fruit_banana_lowfat	muffin (2-3/4 across) (include	58	52304040	
Kapoon_3_portions_3_cups_recipe_	portion	699	58407031	
Kaw_Naw_1_portion_1_cup_	portion	233	58407031	
Khao_Soy_Soup	cup	233	58407031	
Kievs_4_8_1_piece_	piece	258	27146400	
Kowpia_Rice_Noodle_Porrage_	portion	498	58157301	
Lab_Moo_Thai	cup	182	27420021	
Latte_espresso_coffee_regular_with_1_milk	cup (8 fl oz)	240	92101900	206440
Latte_espresso_coffee_regular_with_2_milk	medium (16 fl oz)	480	92101900	203108
Lead_Tree	cup, shredded or chopped	41.25	75231003	
Lead_Tree_Pod	cup	165	75231003	
Lean_25_Smoothie	cup	310	11830941	
Leek_and_Potato_Soup	cup	248	75605011	
Lemon_Peel_Sin_Tone_Ma_Nwe_	tablespoon	6	61113021	
Lettuce_cooked_no_salt_or_fat_added_	cup	81	75220050	900000
Lettuce_cooked_with_salt_no_fat_added_	cup	81	75220050	
Longan	ounce(s)	9.6	63126512	
Loofah	cup, sliced	87.5	73302011	
Luna_Protien_Bar	bar	42	53720612	
M_150	can (16 fl oz)	473	95310601	
Macaroni_salad_pasta_salad_with_mayonnaise_type_dressing_Miracle_Whip_	cup	204	58148112	
Mama_Ramen	package (3 oz), prepared	494	58407030	
Mango_Smoothie	cup	250	64134000	
Mee_Jang	cup	233	58407030	
Milk_Candy	small piece	6	91745041	
Milk_shake_fountain_type_chocolate_with_low_fat_milk	milkshake (10 fl oz)	280	11541110	100566
Minced_Pork_Salad	cup	182	27420021	
Mott_s_fruit_pak_3_75_oz_Applesauce_unsweetened		244	63101120	
Motts_fruit_pak_3_75_oz_Applesauce_unsweetened		113	63101120	
Mushroom_canned_cooked_no_fat_added	small	7	75219013	
Mushroom_fresh_cooked_no_salt_or_fat_added_	cup	156	75219011	900000
Mustard_Green_1_2_increments_	cup pak-choi	56	72122100	
Naked_Green_Juice	cup	248	78101120	
Natural_Cereal_plain	cup 100%	96	57319000	
Natural_Cereal_with_oats_honey_and_raisins	cup 100 %	102	57320500	
Nature_Valley_Peanut_Butter_Cup_1_cup_	package (2 cups, 1.5 oz)	42	53710906	
Noodle_Coconut_Milk	portion	233	58407031	
Oat_bran_cereal_cooked_no_salt_or_fat_added_	cup	242	56299901	
Okara	cup	165	75220011	
Okra_fresh_cooked_no_salt_or_fat_added_	pod	10.6	75220011	
Okra_fresh_cooked_no_salt_or_fat_added_	cup	160	75220011	
Onion_fresh_cooked_no_salt_or_fat_added_	cup	210	75221011	
Onion_fresh_cooked_no_salt_or_fat_added_	medium slice (1/8 thick)	12	75221011	
Onion_fresh_cooked_no_salt_or_fat_added_	large slice (1/4 thick)	32	75221011	
Onion_fresh_cooked_with_salt_no_fat_added_	medium slice (1/8 thick)	12	75221011	
Orange_Chicken	cup	252	27146350	
Orangina_Sweet_Drink_	cup	248	92432000	
Pacific_Soup_Sweet_Potato_Masala	cup	248	73405111	
Pad_Kraprow_Pork	portion	134	22000211	
Pah_Ka_Paw_1_port_1_cup_	portion	134	22000211	
Papaya_Salad_Thai_Edited_so_Same_as_other	cup	262.5	63320101	
Pasta_macaroni_rotini_ziti_shells_lasagna_noodles_cooked_with_salt_and_vegetable_oil_	cup	140	56101030	
Pediasure	cup	248	11710800	
Pennywort_raw	cup	36	72107100	
Pepper_green_cooked_no_salt_or_fat_added_	cherry pepper	16	75226010	900000
Pepper_green_cooked_no_salt_or_fat_added_	small pepper	74	75226010	900000
Pepper_green_cooked_no_salt_or_fat_added_	cup	141	75226010	900000
Peppers_green_cooked_no_salt_or_fat_added_	cup	141	75226010	900000
Pork_Belly	ounce(s) cooked, no bone	28.35	22101210	
Pork_Curry	cup	236	27120160	
Pork_Curry_with_specific_recipe_1_port_1_2_cup	portion	236	27120160	
Pork_Intestine	ounce(s) cooked, no bone	28.35	75226010	900000
Pork_Liver	ounce(s) cooked	28.35	25112200	
Pork_Skin	ounce(s) cooked, no bone	28.35	22709110	
Potato_roasted_with_salt_and_vegetable_oil_	cup	127	71101000	
Protein_Powder	teaspoon	12	95230030	
Pumpkin_Curry	cup	236	75440600	
Pumpkin_Leaves	cup	76	72133199	
Radish_Japanese_daikon_cooked_no_salt_or_fat_added_	cup	147	75227100	
Radishes_Japanese_daikon_cooked_no_salt_or_fat_added_	cup	147	75227100	
Raising_Canes_3_box_combo_no_drink_	meal (10.75 oz)	300	24198691	
Rambutan	cup	190	63126511	
Rambutan_canned_	cup	251	63126601	
Rice_Cake	cup	300	55703000	
Rice_cooked_with_coconut_milk	cup	158	58161200	
Rice_noodles_chow_fun_cooked_with_vegetable_oil	cup	165	56117110	
Rice_Soup_w_Pork	cup	240	28320160	
Rice_white_cooked_with_salt_and_vegetable_oil_	cup, cooked	158	56205002	
Rice_white_regular_cooked_with_salt_no_fat_added_	cup	158	56205008	
Roselle_Leaves	cup	40	75113081	
Roselle_Leaves_1_portion_1_2_oz_	portion	14	75113081	
Sar_Ka_Lay_1_portion_1_oz_	portion	28	56116000	
Sar_Ka_Lay_Khwe_Crispy_Noodle	cup	45	56116000	
Schaut_Thee_Zay_Byar	cup	136	62101001	
Sesbania	cup	164	41302201	
Shrimp_baked_broiled_or_grilled_with_vegetable_oil	cup	145	26319120	
Shrimp_baked_broiled_or_grilled_with_vegetable_oil	ounce(s) cooked	28.35	26319120	
Shrimp_Chips	cup	40	54406200	
Shrimp_Paste	teaspoon	5	26319111	
Skinny_Cow_Chocolate_Bar	bar (6 oz)	170	91705011	
Slim_Jim_Beef_jerky_Slim_Jim_Big_Jerk_		12	21602100	
Snake_Luffa	cup	175	73302011	
Soft_drink_fruit_flavored_caffeine_free_Sprite_Sierra_Mist_7_Up_	can (12 fl oz)	372	92410510	
Soft_drink_fruit_flavored_caffeine_free_Sprite_Sierra_Mist_7_Up_	small drink (16 fl oz)	496	92410510	
Soft_drink_fruit_flavored_caffeine_free_Sprite_Sierra_Mist_7_Up_	fluid ounce(s)	31	92410510	
Soft_taco_with_bean_cheese_and_lettuce	taco	169	58101610	
Soft_tacos_with_beef_cheese_and_lettuce	taco	169	58101610	
Soy_Drink	can (12 fl oz)	366	11320000	
Spinach_Smoothie	fluid ounce(s)	27	64134101	
Spring_Roll_Not_egg_roll_	egg roll	64	58110110	
Sticky_Rice	cup	174	56205190	
Sticky_Rice_Bean_fried_1_portion_tbs	portion	174	56205190	
Sticky_Rice_white_	cup	174	56205190	
Subway_Oven_Roasted_Chicken_Sub_6_long_Chicken_submarine_sandwich_with_cheese_lettuce_tomato_and_mayonnaise		258	27540291	
Subway_Sandwhich_Chicken_mayo_all_veggies_	sandwich	474	27540290	
Sweet_potato_yam_baked_no_salt_added_peel_eaten	cup	205	73402010	900000
Sweet_potato_yam_baked_no_salt_added_peel_eaten	medium potato (5 long)	151	73402010	900000
Sweet_Thai_Chili_Sauce	teaspoon	5	91361011	
Taco_Bell_gordita_Soft_taco_with_beef_cheese_lettuce_tomato_and_salsa		153	58104290	
Takis	cup, crushed	35	54401050	
Tamarind_drink_Puerto_Rican	fluid ounce(s)	31	92510650	
Tapioca	ounce(s)	28	13210500	
Taro_Leaf_1_portion_1_2_oz_	portion	14	72125999	
Thai_Glass_Noodle_Salad	cup	150	56117112	
Thai_Northern_Sausage_1_portion_1_oz_	portion	28.35	25221411	
Thai_Papaya_Salad_1_Serving_1_5_cup_	cup	315	63320101	
Thai_Tapioca_Dessert_w_Coconut_	cup	205	13210501	
Tomato_Curry	cup	236	75440601	
Tortilla_soup_Mexican_style	cup	240	58421080	
Turkey_Chili	cup	254	27141500	
Udon	cup	233	58407030	
Veggie_Fritters_2_fritters_with_syrup_is_1_actual_Fritter	portion (2 fritters with syrup)	120	75440405	
Vietnamese_Sausage	ounce(s) cooked	141.75	25220461	
Voiz_Cracker_Milk_	medium	11	54308000	
Water_Convolvulus_Water_Spinach_	cup	25	72140100	
Watercress_cooked_no_salt_or_fat_added_	cup	25	72130200	900000
Wheat_Powder_and_Sugar	cup	62.75	56207015	
Wing_Bean	cup	140	41107001	
Yakult	fluid ounce(s)	91.5	11115400	
Zesty_Chicken_and_Black_Bean_Salad_Bowl_Starbucks_	cup	269	27446361	
Zucchini	cup, chopped	124	75128010	
