Main.food.description	Portion	portionwgt	FoodCode	ModCode	FoodID	Food Name	Old.Food.Portion	Total Calories	Protein (g)	Carbohydrate (g)	Dietary Fiber (g)	Total Sugars (g)	Added Sugars (g)	Total Fat (g)	Saturated Fat (g)	Monounsaturated Fat (g)	Polyunsaturated Fat (g)	Linoleic Acid (g)	a-Linolenic Acid (g)	Omega 3 - EPA (mg)	Omega 3 - DHA (mg)	Cholesterol (mg)	Calcium (mg)	Potassium (mg)	Sodium (mg)	Copper (ug)	Iron (mg)	Magnesium (mg)	Phosphorus (mg)	Selenium (ug)	Zinc (mg)	Vitamin A (ug)	Vitamin B6 (mg)	Vitamin B12 (ug)	Vitamin C (mg)	Vitamin D (ug)	Vitamin E (mg)	Vitamin K (ug)	Folate (ug)	Thiamin (mg)	Riboflavin (mg)	Niacin (mg)	Choline (mg)	FoodAmt
Pork_Skin	ounce(s) cooked, no bone	28.35	22709110	0	22709110.0	Pork Skin	1 ounce(s) cooked, no bone	118	6	0	0	0	0	10	4	4	2	0	0	0	0	22	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Protein_Powder	teaspoon	12	95230030	0	95230030.0	Protein Powder	2 teaspoon	23	4	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Pumpkin_Leaves	cup	76	72133199	0	72133199.0	Pumpkin Leaves	1 cup	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Raising_Canes_3_box_combo_no_drink_	meal (10.75 oz)	300	24198691	0	24198691.0	Raising Canes (3 box combo no drink)	1 meal (10.75 oz)	970	29	108	1	6	0	54	6	0	0	0	0	0	0	52	0	0	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rambutan	cup	190	63126511	0	63126511.0	Rambutan	1 cup	123	1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rambutan_canned_	cup	251	63126601	0	63126601.0	Rambutan (canned)	1 cup	123	1	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rice_Soup_w_Pork	cup	240	28320160	0	28320160.0	Rice Soup w/ Pork	1 cup	310	9	39	2	6	0	13	4	0	0	0	0.4	0	0	0	27	0	800	382	1	6	119	2	2	2	0.5	0	7	0	3	7	11	0.3	0.1	1	0	1
Roselle_Leaves	cup	40	75113081	0	75113081.0	Roselle Leaves	1 cup	102	8	22	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	510	0	0	9845	0	0	129	0	0	0	0	0.4	1	1	0	1
Roselle_Leaves_1_portion_1_2_oz_	portion	14	75113081	0	75113081.0	Roselle Leaves (1 portion = 1/2 oz)	1 portion	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0	615	0	0	8	0	0	0	0	0	0.1	0	0	1
Schaut_Thee_Zay_Byar	cup	136	62101001	0	62101001.0	Schaut Thee Zay Byar	1 cup	156	3	44	5	44	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sesbania	cup	164	41302201	0	41302201.0	Sesbania	1 cup	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Shrimp_Paste	teaspoon	5	26319111	0	26319111.0	Shrimp Paste	1 teaspoon	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Skinny_Cow_Chocolate_Bar	bar (6 oz)	170	91705011	0	91705011.0	Skinny Cow Chocolate Bar	1 bar (6 oz)	110	1	14	1	9	9	6	4	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Snake_Luffa	cup	175	73302011	0	73302011.0	Snake Luffa	1 cup	39	3	8	4	4	0	0	0	0	0	0	0	0	0	0	137	239	11	151	0	64	57	1	1	25	0.3	0	29	0	0	71	82	0.2	0.1	2	16	1
Spinach_Smoothie	fluid ounce(s)	27	64134101	0	64134101.0	Spinach Smoothie	1 fluid ounce(s)	18	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sweet_Thai_Chili_Sauce	teaspoon	5	91361011	0	91361011.0	Sweet Thai Chili Sauce	1 teaspoon	35	0	9	1	7	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tapioca	ounce(s)	28	13210500	0	13210500.0	Tapioca	1 oz	37	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Taro_Leaf_1_portion_1_2_oz_	portion	14	72125999	0	72125999.0	Taro Leaf (1 portion = 1/2 oz)	1 portion	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	65	0	29	0	5	6	0	0	25	0	0	3	0	0	12	9	0	0	0	1	1
Thai_Glass_Noodle_Salad	cup	150	56117112	0	56117112.0	Thai Glass Noodle Salad	1 cup	87	5	11	1	1	0	2	1	0	0	0	0	0	0	25	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Thai_Northern_Sausage_1_portion_1_oz_	portion	28.35	25221411	0	25221411.0	Thai Northern Sausage (1 portion = 1 oz)	1 portion	178	6	1	0	0	0	16	6	7	2	2	0.1	0	0	32	10	136	491	24	1	12	64	8	1	0	0.1	0.1	0	0	0	0	5	0.2	0.1	1	28	1
Thai_Papaya_Salad_1_Serving_1_5_cup_	cup	315	63320101	0	63320101.0	Thai Papaya Salad (1 Serving 1.5 cup)	1.5 cup	137	5	24	4	15	0	1	0	0	0	0	0	0	0	0	0	555	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Thai_Tapioca_Dessert_w_Coconut_	cup	205	13210501	0	13210501.0	Thai Tapioca Dessert (w Coconut)	1 cup	254	1	48	1	15	0	7	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tomato_Curry	cup	236	75440601	0	75440601.0	Tomato Curry	1 cup	318	7	58	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Veggie_Fritters_2_fritters_with_syrup_is_1_actual_Fritter	portion (2 fritters with syrup)	120	75440405	0	75440405.0	Veggie Fritters (2 fritters with syrup is 1 actual Fritter	1 portion (2 fritters with syrup)	233	31	7	0	4	0	3	1	1	1	0	0	0	0	69	0	0	100	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Vietnamese_Sausage	ounce(s) cooked	141.75	25220461	0	25220461.0	Vietnamese Sausage	5 ounce(s) cooked	390	18	6	0	6	0	33	12	0	0	0	0	0	0	90	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Voiz_Cracker_Milk_	medium	11	54308000	0	54308000.0	Voiz Cracker (Milk)	1 medium	50	1	8	0	2	0	3	2	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Water_Convolvulus_Water_Spinach_	cup	25	72140100	0	72140100.0	Water Convolvulus (Water Spinach)	1 cup	11	2	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Wheat_Powder_and_Sugar	cup	62.75	56207015	0	56207015.0	Wheat Powder and Sugar	1/4 cup	250	4	22	4	0	50	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25
Wing_Bean	cup	140	41107001	0	41107001.0	Wing Bean	1 cup	33	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Yakult	fluid ounce(s)	91.5	11115400	0	11115400.0	Yakult	3 fluid ounce(s)	50	0	12	0	11	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Zesty_Chicken_and_Black_Bean_Salad_Bowl_Starbucks_	cup	269	27446361	0	27446361.0	Zesty Chicken and Black Bean Salad Bowl (Starbucks)	1 cup	360	14	38	8	9	0	0	3	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
