Diet.ID	FoodID	FoodAmt
79	CS.390	11113000.0	367.5
80	CS.391	11113000.0	735
81	CS.393	11113000.0	490
82	L.001.M3	11113000.0	245
83	L.036.M6	11113000.0	245
84	L.025.M6	11115400.0	732
85	T.CS.093	11115400.0	274.5
86	T.CS.162	11115400.0	366
87	T.CS.019	11220000.0	229.5
88	CS.032	11320000.0	245
89	CS.086	11320000.0	244.8
90	CS.166	11320000.0	122.5
91	CS.233	11320000.0	366
92	CS.283	11320000.0	367.5
93	CS.349	11320000.0	796.25
94	CS.372	11320000.0	122.5
95	CS.377	11320000.0	245
96	L.004.M1	11320000.0	244.8
97	T.CS.025	11320000.0	122.5
98	T.CS.096	11320000.0	306.25
99	CS.166	11321000.0	60
100	CS.115	11350000.0	245
101	CS.145	11350000.0	245
102	CS.181	11350000.0	245
103	CS.255	11350000.0	183.75
104	CS.275	11350000.0	61.25
105	CS.385	11350000.0	122.5
106	CS.386	11350000.0	61.25
107	CS.029	11411100.0	227
108	CS.177	11411100.0	15.31
109	CS.370	11411100.0	227
110	CS.228	11411200.0	122.5
111	CS.256	11411200.0	227
112	CS.359	11411200.0	227
113	CS.117	11411300.0	113.5
114	CS.158	11411300.0	61.25
115	CS.181	11411300.0	113.5
116	CS.223	11411300.0	245
117	CS.228	11411300.0	122.5
118	CS.263	11411300.0	122.5
119	CS.308	11411300.0	122.5
120	CS.326	11411300.0	61.25
121	CS.369	11411300.0	122.5
122	CS.377	11411300.0	122.5
123	CS.166	11422000.0	227
124	CS.386	11422000.0	227
125	CS.252	11431000.0	170
126	CS.395	11432000.0	245
127	CS.385	11433000.0	170
128	CS.270	11447772.0	170
129	CS.372	11460170.0	100
130	CS.372	11460300.0	79.5
131	CS.177	11512000.0	500
132	CS.181	11512000.0	250
133	CS.252	11512000.0	250
134	CS.390	11513300.0	360
135	CS.214	11514100.0	206
136	CS.077	11519200.0	250
137	T.CS.177	11526000.202663	235
138	CS.249	11541110.100566	210
139	CS.325	11623000.0	341
140	CS.363	11641020.0	512
141	CS.131	11710800.0	248
142	CS.206	11830941.0	387.5
143	CS.036	12120100.0	60.5
144	CS.145	12120100.0	22.65
145	CS.268	12120100.0	45.3
146	CS.323	12120100.0	30.2
147	CS.359	12120100.0	15.1
148	CS.391	12120100.0	60.5
149	CS.115	12130100.0	476
150	CS.252	12140110.0	16
151	CS.390	12140110.0	16
152	CS.146	12210200.0	15
153	CS.039	12210210.0	30
154	CS.063	13110100.0	74
155	CS.079	13110100.0	44
156	CS.210	13110100.0	296
157	CS.214	13110100.0	66
158	CS.293	13110100.0	132
159	CS.319	13110100.0	264
160	CS.326	13110100.0	74
161	T.CS.127	13110100.0	37
162	T.CS.128	13110100.0	74
163	T.CS.133	13110100.0	37
164	T.CS.157	13110100.0	74
165	CS.176	13110110.0	74
166	CS.227	13110110.0	148
167	CS.331	13110110.0	37
168	CS.362	13110110.0	148
169	CS.380	13110120.0	37
170	CS.235	13120050.0	56
171	L.005.M4	13120730.0	156
172	L.007.M3	13120730.0	78
173	CS.298	13210410.200118	56.25
174	T.CS.159	13210500.0	112
175	CS.164	13210501.0	205
176	L.034.M0	13210501.0	205
177	T.CS.007	13210501.0	102.5
178	T.CS.128	13210501.0	102.5
179	T.CS.130	13210501.0	205
180	T.CS.163	13210501.0	102.5
181	T.FS.CS.025	13210501.0	102.5
182	CS.359	13411000.205622	62.5
183	CS.360	14101010.0	85.05
184	CS.060	14104010.0	19
185	CS.128	14104010.0	19
186	CS.145	14104010.0	28.25
187	CS.146	14104010.0	56.78
188	CS.147	14104010.0	38
189	CS.183	14104010.0	42.585
190	CS.195	14104010.0	19
191	CS.255	14104010.0	38
192	CS.309	14104010.0	19
193	CS.231	14107030.0	28.35
194	CS.188	14107040.0	84
195	CS.128	14107060.0	56.7
196	CS.128	14108400.0	56.78
197	CS.181	14120010.0	56.5
198	CS.129	14204010.0	169.5
199	CS.184	14301010.0	58
200	CS.326	14301010.0	29
201	CS.360	14301010.0	14.5
202	CS.369	14410120.0	42
203	CS.374	14410120.0	21
204	CS.377	14410120.0	42
205	CS.214	14650160.0	121.5
206	CS.233	14650160.0	60.75
207	CS.242	21101129.0	28.32
208	CS.061	21101130.0	56.7
209	CS.066	21101130.0	56.7
210	CS.128	21101130.0	56.7
211	CS.159	21101130.0	28.35
212	CS.270	21101130.0	56.7
213	CS.275	21101130.0	56.7
214	CS.276	21101130.0	56.7
215	CS.290	21101130.0	85.05
216	CS.322	21101130.0	226.8
217	CS.374	21101130.0	226.8
218	L.001.M7	21102130.0	510.3
219	T.CS.143	21102130.0	85.05
220	CS.125	21304120.0	153
221	CS.345	21304220.0	306
222	CS.067	21401110.0	28.35
223	CS.222	21401110.0	85.05
224	CS.081	21401120.0	67
225	CS.125	21401120.0	33.5
226	CS.135	21401120.0	126
227	CS.150	21401120.0	85.05
228	CS.156	21401120.0	201
229	CS.159	21401120.0	28.35
230	CS.187	21401120.0	21
231	CS.189	21401120.0	67
232	CS.204	21401120.0	85.05
233	CS.247	21401120.0	85.05
234	CS.269	21401120.0	33.5
235	CS.288	21401120.0	85.05
236	CS.292	21401120.0	33.5
237	CS.298	21401120.0	201
238	CS.303	21401120.0	134
239	CS.319	21401120.0	100.5
240	CS.320	21401120.0	56.7
241	CS.325	21401120.0	113.4
242	CS.337	21401120.0	85.05
243	CS.344	21401120.0	134
244	CS.348	21401120.0	33.5
245	CS.351	21401120.0	85.05
246	CS.363	21401120.0	340.2
247	CS.379	21401120.0	33.5
248	T.FS.CS.024	21401120.0	170.1
249	CS.316	21401129.0	28.35
250	CS.018	21407110.0	67
251	CS.019	21407110.0	67
252	CS.026	21407110.0	268
253	CS.028	21407110.0	170.1
254	CS.137	21407119.0	340.2
255	CS.181	21407120.0	100.5
256	CS.213	21407120.0	21
257	CS.288	21407120.0	85.05
258	L.033.M6	21407120.0	201
259	T.CS.032	21407120.0	85.05
260	CS.111	21417120.0	85.05
261	L.035.M5	21501000.0	79
262	L.032.M4	21501200.0	56.7
263	CS.212	21501300.0	141.75
264	CS.370	21501300.0	113.4
265	CS.321	21501350.0	184
266	CS.152	21501360.0	56.7
267	CS.252	21501369.0	56.64
268	CS.145	21602100.0	12
269	CS.351	21602100.0	36
270	CS.169	22000211.0	134
271	T.CS.148	22000211.0	134
272	CS.055	22002000.0	56.7
273	CS.113	22002000.0	56.7
274	CS.119	22002000.0	226.8
275	CS.160	22002000.0	56.7
276	CS.167	22002000.0	453.6
277	CS.170	22002000.0	113.4
278	CS.171	22002000.0	170.1
279	CS.230	22002000.0	226.8
280	CS.008	22101110.0	113.4
281	CS.011	22101110.0	85.05
282	CS.014	22101110.0	198.45
283	CS.018	22101110.0	113.4
284	CS.019	22101110.0	113.4
285	CS.040	22101110.0	90
286	CS.075	22101110.0	56.7
287	CS.122	22101110.0	85.05
288	CS.123	22101110.0	85.05
289	CS.169	22101110.0	85.05
290	CS.170	22101110.0	85.05
291	CS.171	22101110.0	170.1
292	T.CS.072	22101110.0	85.05
293	T.CS.124	22101110.0	56.7
294	CS.030	22101120.0	113.4
295	CS.033	22101120.0	56.7
296	CS.034	22101120.0	226.8
297	CS.041	22101120.0	28.35
298	CS.044	22101120.0	113.4
299	CS.046	22101120.0	85.05
300	CS.047	22101120.0	85.05
301	CS.052	22101120.0	453.6
302	CS.058	22101120.0	56.7
303	CS.065	22101120.0	85.05
304	CS.073	22101120.0	113.4
305	CS.079	22101120.0	170.1
306	CS.081	22101120.0	28.35
307	CS.082	22101120.0	85.05
308	CS.096	22101120.0	141.75
309	CS.098	22101120.0	85.05
310	CS.113	22101120.0	28.35
311	CS.117	22101120.0	113.4
312	CS.119	22101120.0	226.8
313	CS.126	22101120.0	85.05
314	CS.133	22101120.0	85.05
315	CS.134	22101120.0	85.05
316	CS.138	22101120.0	113.4
317	CS.150	22101120.0	113.4
318	CS.155	22101120.0	85.05
319	CS.157	22101120.0	141.75
320	CS.158	22101120.0	113.4
321	CS.163	22101120.0	226.8
322	CS.164	22101120.0	113.4
323	CS.176	22101120.0	113.4
324	CS.195	22101120.0	85.05
325	CS.196	22101120.0	226.8
326	CS.215	22101120.0	113.4
327	CS.220	22101120.0	310.8
328	CS.221	22101120.0	170.1
329	CS.227	22101120.0	113.4
330	CS.236	22101120.0	226.8
331	CS.237	22101120.0	56.7
332	CS.238	22101120.0	623.7
333	CS.242	22101120.0	28.35
334	CS.261	22101120.0	170.1
335	CS.272	22101120.0	56.7
336	CS.274	22101120.0	85.05
337	CS.275	22101120.0	141.75
338	CS.277	22101120.0	170.1
339	CS.286	22101120.0	56.7
340	CS.290	22101120.0	85.05
341	CS.293	22101120.0	170.1
342	CS.300	22101120.0	224.7
343	CS.301	22101120.0	141.75
344	CS.303	22101120.0	226.8
345	CS.305	22101120.0	170.1
346	CS.308	22101120.0	113.4
347	CS.311	22101120.0	85.05
348	CS.316	22101120.0	28.35
349	CS.320	22101120.0	56.7
350	CS.327	22101120.0	113.4
351	CS.330	22101120.0	226.8
352	CS.332	22101120.0	85.05
353	CS.335	22101120.0	85.05
354	CS.338	22101120.0	85.05
355	CS.343	22101120.0	113.4
356	CS.364	22101120.0	85.05
357	CS.367	22101120.0	28.35
358	CS.377	22101120.0	46
359	CS.382	22101120.0	56.7
360	L.002.M3	22101120.0	56.7
361	L.002.M5	22101120.0	283.5
362	L.003.M4	22101120.0	28.35
363	L.004.M1	22101120.0	56.7
364	L.005.M3	22101120.0	226.8
365	L.007.M1	22101120.0	340.2
366	L.012.M1	22101120.0	85.05
367	L.025.M4	22101120.0	453.6
368	L.031.M6	22101120.0	170.1
369	L.032.M6	22101120.0	198.45
370	L.036.M1	22101120.0	85.05
371	T.CS.001	22101120.0	141.75
372	T.CS.004	22101120.0	85.05
373	T.CS.005	22101120.0	85.05
374	T.CS.009	22101120.0	28.35
375	T.CS.014	22101120.0	170.1
376	T.CS.018	22101120.0	170.1
377	T.CS.021	22101120.0	113.4
378	T.CS.025	22101120.0	85.05
379	T.CS.031	22101120.0	56.7
380	T.CS.033	22101120.0	56.7
381	T.CS.034	22101120.0	283.5
382	T.CS.035	22101120.0	84
383	T.CS.037	22101120.0	56.7
384	T.CS.042	22101120.0	170.1
385	T.CS.046	22101120.0	28.35
386	T.CS.048	22101120.0	85.05
387	T.CS.049	22101120.0	85.05
388	T.CS.055	22101120.0	85.05
389	T.CS.065	22101120.0	113.4
390	T.CS.074	22101120.0	56.7
391	T.CS.075	22101120.0	85.05
392	T.CS.079	22101120.0	255.15
393	T.CS.083	22101120.0	56.7
394	T.CS.087	22101120.0	56.7
395	T.CS.089	22101120.0	56.7
396	T.CS.091	22101120.0	56.7
397	T.CS.109	22101120.0	28.35
398	T.CS.118	22101120.0	113.4
399	T.CS.126	22101120.0	56.7
400	T.CS.128	22101120.0	56.7
401	T.CS.134	22101120.0	28.35
402	T.CS.138	22101120.0	113.4
403	T.CS.139	22101120.0	113.4
404	T.CS.153	22101120.0	113.4
405	T.CS.170	22101120.0	28.35
406	T.CS.171	22101120.0	170.1
407	T.FS.CS.004	22101120.0	113.4
408	T.FS.CS.021	22101120.0	85.05
409	T.FS.CS.022	22101120.0	170.1
410	T.FS.CS.028	22101120.0	85.05
411	CS.055	22101210.0	113.4
412	L.001.M2	22101210.0	340.2
413	T.CS.011	22101210.0	170.1
414	CS.046	22101220.0	198.45
415	CS.059	22101220.0	113.4
416	CS.101	22101220.0	141.75
417	CS.165	22101220.0	85.05
418	CS.186	22101220.0	68
419	CS.199	22101220.0	136
420	CS.217	22101220.0	56.7
421	CS.302	22101220.0	113.4
422	L.001.M3	22101220.0	85.05
423	L.001.M4	22101220.0	198.45
424	L.002.M3	22101220.0	283.5
425	L.005.M2	22101220.0	340.2
426	L.007.M2	22101220.0	85.05
427	L.007.M6	22101220.0	595.35
428	L.022.M2	22101220.0	255.15
429	L.025.M5	22101220.0	170.1
430	T.CS.029	22101220.0	113.4
431	T.CS.052	22101220.0	56.7
432	T.CS.061	22101220.0	28.35
433	T.CS.072	22101220.0	113.4
434	T.CS.091	22101220.0	56.7
435	T.CS.143	22101220.0	56.7
436	T.CS.157	22101220.0	56.7
437	L.001.M3	22101320.0	907.2
438	L.001.M5	22101320.0	113.4
439	CS.068	22101520.0	453.6
440	CS.231	22101520.0	56.7
441	CS.300	22199999.0	28.32
442	CS.302	22199999.0	113.28
443	T.CS.054	22199999.0	28.32
444	T.CS.068	22199999.0	56.64
445	T.CS.077	22199999.0	113.28
446	T.FS.CS.023	22199999.0	28.32
447	T.CS.022	22210399.0	28.32
448	CS.278	22301110.0	56.7
449	CS.284	22301110.0	126
450	CS.330	22301110.0	84
451	CS.181	22311450.0	56
452	CS.013	22401010.0	85.05
453	CS.075	22401010.0	28.35
454	CS.090	22401010.0	56.7
455	L.005.M4	22401010.0	141.75
456	L.007.M1	22401010.0	85.05
457	CS.072	22601000.0	8
458	CS.073	22601000.0	16
459	CS.368	22601000.0	16
460	CS.375	22601000.0	40
461	CS.309	22701010.0	105
462	CS.134	22701020.0	52
463	CS.285	22701020.0	104
464	CS.331	22701020.0	52
465	CS.362	22701020.0	18
466	CS.363	22701050.0	60
467	T.CS.148	22705010.0	277.5
468	T.CS.154	22705010.0	222
469	L.032.M0	22706010.0	47
470	L.033.M0	22706010.0	23.5
471	T.CS.136	22706010.0	35
472	T.CS.122	22708010.0	70
473	CS.071	22709010.0	5
474	CS.073	22709010.0	57
475	T.CS.047	22709010.0	16
476	T.CS.124	22709010.0	16
477	CS.232	23104020.0	56.7
478	L.005.M1	23150200.0	141.75
479	L.012.M2	23150200.0	283.5
480	L.001.M6	23321100.0	170.1
481	CS.113	23333100.0	35
482	CS.199	23333100.0	35
483	CS.220	23333100.0	35
484	CS.258	23333100.0	210
485	CS.328	23333100.0	35
486	L.036.M0	24122119.0	84.96
487	T.CS.145	24122119.0	113.3275
488	CS.003	24122120.0	168
489	CS.004	24122120.0	84
490	CS.053	24122120.0	168
491	CS.058	24122120.0	84
492	CS.079	24122120.0	240
493	CS.082	24122120.0	28
494	CS.101	24122120.0	35
495	CS.103	24122120.0	135
496	CS.114	24122120.0	84
497	CS.116	24122120.0	84
498	CS.119	24122120.0	168
499	CS.124	24122120.0	112
500	CS.125	24122120.0	84
501	CS.131	24122120.0	84
502	CS.153	24122120.0	33.75
503	CS.156	24122120.0	84
504	CS.158	24122120.0	33.75
505	CS.161	24122120.0	56
506	CS.164	24122120.0	28
507	CS.176	24122120.0	84
508	CS.178	24122120.0	33.75
509	CS.182	24122120.0	168
510	CS.187	24122120.0	105
511	CS.191	24122120.0	84
512	CS.204	24122120.0	84
513	CS.207	24122120.0	168
514	CS.212	24122120.0	84
515	CS.218	24122120.0	135
516	CS.223	24122120.0	120
517	CS.224	24122120.0	67.5
518	CS.232	24122120.0	168
519	CS.249	24122120.0	270
520	CS.253	24122120.0	120
521	CS.255	24122120.0	84
522	CS.256	24122120.0	67.5
523	CS.258	24122120.0	168
524	CS.268	24122120.0	33.75
525	CS.274	24122120.0	33.75
526	CS.275	24122120.0	67.5
527	CS.283	24122120.0	28
528	CS.304	24122120.0	56
529	CS.306	24122120.0	33.75
530	CS.307	24122120.0	135
531	CS.309	24122120.0	120
532	CS.316	24122120.0	84
533	CS.322	24122120.0	101.25
534	CS.326	24122120.0	168
535	CS.329	24122120.0	84
536	CS.334	24122120.0	210
537	CS.337	24122120.0	135
538	CS.360	24122120.0	112
539	CS.362	24122120.0	196
540	CS.367	24122120.0	84
541	CS.369	24122120.0	33.75
542	CS.380	24122120.0	67.5
543	CS.384	24122120.0	280
544	CS.388	24122120.0	135
545	CS.395	24122120.0	119
546	L.007.M4	24122120.0	288
547	L.008.M4	24122120.0	252
548	L.012.M6	24122120.0	308
549	L.022.M2	24122120.0	84
550	L.036.M2	24122120.0	202.5
551	T.CS.016	24122120.0	405
552	T.CS.041	24122120.0	56
553	T.CS.061	24122120.0	56
554	T.CS.065	24122120.0	168
555	T.CS.082	24122120.0	112
556	T.CS.086	24122120.0	33.75
557	T.CS.092	24122120.0	120
558	T.CS.127	24122120.0	84
559	T.CS.140	24122120.0	95.5
560	T.CS.162	24122120.0	28
561	CS.134	24122129.0	136
562	T.CS.017	24122129.0	113.28
563	T.CS.044	24122129.0	56.64
564	T.CS.110	24122129.0	396.48
565	CS.155	24123120.0	84
566	L.024.M3	24123120.0	168.75
567	L.025.M3	24123120.0	202.5
568	L.032.M2	24124110.205388	255.15
569	T.CS.151	24124120.205407	56
570	CS.005	24127110.205433	85.05
571	CS.023	24127110.205433	170.1
572	CS.098	24127110.205433	56.7
573	CS.113	24127110.205433	85.05
574	CS.188	24127110.205433	226.8
575	CS.193	24127110.205433	85.05
576	CS.336	24127110.205433	85.05
577	CS.356	24127110.205433	56.7
578	L.007.M3	24127110.205433	170.1
579	L.031.M2	24127110.205433	85.05
580	L.033.M2	24127110.205433	85.05
581	T.CS.052	24127110.205433	85.05
582	T.CS.066	24127110.205433	85.05
583	T.CS.133	24127110.205433	113.4
584	T.CS.163	24127110.205433	113.4
585	L.006.M3	24127120.205996	596.19
586	T.CS.099	24127120.205996	85.17
587	CS.056	24127150.205374	85.05
588	CS.195	24127150.205374	113.4
589	CS.114	24127160.205835	85.17
590	CS.002	24132210.0	140
591	CS.032	24132210.0	480
592	CS.028	24142210.0	58
593	CS.090	24142210.0	56.7
594	CS.127	24142210.0	116
595	T.CS.107	24142210.0	116
596	T.CS.170	24142210.0	45
597	L.035.M0	24142220.0	19
598	T.CS.103	24142220.0	100
599	T.CS.148	24142220.0	38
600	T.CS.168	24142220.0	76
601	CS.154	24143210.0	56.7
602	CS.065	24144210.205539	72
603	CS.195	24144210.205539	72
604	CS.321	24144210.205539	72
605	T.CS.053	24147210.205362	170.1
606	T.CS.148	24147220.206578	38
607	CS.014	24152210.0	113.4
608	CS.319	24152210.0	164
609	CS.056	24152220.0	84
610	CS.327	24152220.0	168
611	CS.137	24154210.205389	168
612	CS.032	24162110.0	36
613	CS.202	24162110.0	108
614	CS.212	24162110.0	72
615	CS.213	24162110.0	72
616	CS.292	24162110.0	180
617	CS.301	24162110.0	36
618	CS.134	24162119.0	107
619	CS.030	24162120.0	44
620	CS.222	24162120.0	22
621	CS.383	24163110.0	44
622	CS.195	24164110.0	90
623	CS.282	24164110.0	60
624	CS.321	24164110.0	90
625	CS.347	24164110.0	60
626	T.CS.123	24167110.205393	108
627	CS.165	24198500.0	80
628	CS.270	24198691.0	300
629	CS.376	24198700.0	258
630	L.035.M3	24198700.0	76
631	L.035.M6	24198720.0	85.05
632	CS.063	24198740.0	32
633	CS.065	24198740.0	64
634	CS.117	24198740.0	64
635	CS.287	24198740.0	96
636	CS.320	24198740.0	160
637	CS.043	24201130.0	170.1
638	CS.161	24201130.0	56.7
639	CS.247	24201130.0	113.4
640	CS.323	24201130.0	85.05
641	CS.332	24201130.0	226.8
642	CS.377	24201130.0	112
643	CS.383	24201130.0	112
644	CS.309	24201239.0	816
645	CS.165	24207099.0	226.8
646	CS.262	24207099.0	56.7
647	CS.331	24300110.0	85.17
648	CS.378	24300110.0	56.78
649	CS.168	24300120.0	85.17
650	CS.232	24300120.0	70
651	T.CS.128	25110140.0	63
652	CS.006	25110420.0	70
653	CS.286	25110420.0	35
654	T.CS.122	25110420.0	56.7
655	T.CS.152	25110450.207088	28.35
656	T.FS.CS.025	25112200.0	226.8
657	CS.212	25160000.0	85.05
658	CS.290	25160000.0	85.05
659	L.036.M2	25170420.0	36.25
660	T.CS.162	25170420.0	72.5
661	T.CS.122	25170429.0	18
662	T.CS.152	25170429.0	9
663	T.CS.180	25170429.0	9
664	CS.007	25210210.0	171
665	CS.030	25210210.0	57
666	CS.335	25210210.0	57
667	CS.341	25210210.0	114
668	CS.002	25220140.0	39
669	CS.076	25220140.0	66.5
670	CS.177	25220350.0	85
671	CS.182	25220350.0	85
672	CS.319	25220350.0	170
673	CS.223	25220370.0	228
674	CS.077	25220461.0	1134
675	CS.080	25221350.0	34
676	CS.228	25221350.0	85.05
677	CS.362	25221350.0	113.4
678	CS.366	25221350.0	136
679	CS.381	25221350.0	141.75
680	CS.050	25221410.0	56
681	CS.290	25221410.0	27
682	CS.306	25221410.0	56
683	CS.323	25221410.0	33.25
684	CS.365	25221410.0	168
685	CS.368	25221410.0	39
686	T.CS.083	25221410.0	56
687	T.CS.169	25221411.0	42.525
688	CS.073	25221660.0	34.5
689	CS.125	25230210.0	36.75
690	CS.195	25230210.0	28
691	CS.247	25230210.0	73.5
692	CS.374	25230210.0	84
693	CS.309	25230220.0	42
694	CS.060	25230230.0	28
695	L.034.M2	25230560.0	266.25
696	L.035.M6	25230560.0	53.25
697	T.CS.126	25230560.0	213
698	CS.012	26100135.0	56
699	CS.020	26100135.0	112
700	CS.022	26100135.0	56
701	CS.024	26100135.0	112
702	CS.083	26100135.0	28
703	CS.085	26100135.0	140
704	CS.086	26100135.0	84
705	CS.089	26100135.0	28
706	CS.090	26100135.0	112
707	CS.094	26100135.0	28
708	CS.097	26100135.0	56
709	CS.105	26100135.0	112
710	CS.106	26100135.0	112
711	CS.110	26100135.0	56
712	CS.139	26100135.0	56
713	CS.141	26100135.0	112
714	CS.142	26100135.0	56
715	CS.175	26100135.0	196
716	CS.176	26100135.0	56
717	CS.198	26100135.0	56
718	CS.220	26100135.0	56
719	CS.238	26100135.0	56
720	CS.242	26100135.0	56
721	CS.245	26100135.0	56
722	CS.246	26100135.0	140
723	CS.265	26100135.0	56
724	CS.281	26100135.0	56
725	CS.293	26100135.0	112
726	CS.314	26100135.0	84
727	CS.316	26100135.0	56
728	CS.317	26100135.0	56
729	CS.350	26100135.0	56
730	CS.356	26100135.0	56
731	CS.357	26100135.0	84
732	L.002.M1	26100135.0	28
733	L.002.M2	26100135.0	56
734	L.003.M1	26100135.0	84
735	L.003.M3	26100135.0	28
736	L.003.M4	26100135.0	112
737	L.003.M5	26100135.0	56
738	L.003.M6	26100135.0	56
739	L.005.M1	26100135.0	84
740	L.005.M2	26100135.0	84
741	L.005.M3	26100135.0	28
742	L.005.M4	26100135.0	112
743	L.005.M5	26100135.0	168
744	L.005.M6	26100135.0	56
745	L.007.M1	26100135.0	168
746	L.008.M1	26100135.0	28
747	L.011.M1	26100135.0	28
748	L.012.M1	26100135.0	112
749	L.012.M3	26100135.0	140
750	L.012.M4	26100135.0	56
751	L.022.M4	26100135.0	56
752	L.024.M5	26100135.0	56
753	L.024.M6	26100135.0	112
754	L.025.M6	26100135.0	28
755	L.031.M3	26100135.0	56
756	L.031.M6	26100135.0	56
757	L.032.M0	26100135.0	28
758	L.032.M1	26100135.0	56
759	L.032.M2	26100135.0	56
760	L.033.M1	26100135.0	56
761	L.033.M6	26100135.0	28
762	L.034.M1	26100135.0	84
763	L.034.M3	26100135.0	56
764	L.035.M0	26100135.0	28
765	L.035.M1	26100135.0	56
766	L.035.M3	26100135.0	56
767	L.036.M3	26100135.0	56
768	L.036.M4	26100135.0	56
769	T.CS.053	26100135.0	56
770	T.CS.094	26100135.0	28
771	T.CS.098	26100135.0	28
772	T.CS.099	26100135.0	28
773	T.CS.101	26100135.0	56
774	T.CS.102	26100135.0	56
775	T.CS.104	26100135.0	28
776	T.CS.108	26100135.0	56
777	T.CS.111	26100135.0	28
778	T.CS.114	26100135.0	16
779	T.CS.115	26100135.0	28
780	T.CS.116	26100135.0	168
781	T.CS.120	26100135.0	28
782	T.CS.121	26100135.0	28
783	T.CS.122	26100135.0	28
784	T.CS.123	26100135.0	56
785	T.CS.124	26100135.0	8
786	T.CS.125	26100135.0	64
787	T.CS.126	26100135.0	16
788	T.CS.127	26100135.0	16
789	T.CS.128	26100135.0	28
790	T.CS.130	26100135.0	28
791	T.CS.131	26100135.0	4
792	T.CS.132	26100135.0	28
793	T.CS.136	26100135.0	56
794	T.CS.137	26100135.0	56
795	T.CS.138	26100135.0	56
796	T.CS.139	26100135.0	84
797	T.CS.141	26100135.0	56
798	T.CS.142	26100135.0	28
799	T.CS.143	26100135.0	56
800	T.CS.144	26100135.0	84
801	T.CS.147	26100135.0	28
802	T.CS.148	26100135.0	56
803	T.CS.149	26100135.0	56
804	T.CS.150	26100135.0	56
805	T.CS.151	26100135.0	56
806	T.CS.153	26100135.0	28
807	T.CS.154	26100135.0	112
808	T.CS.155	26100135.0	28
809	T.CS.156	26100135.0	28
810	T.CS.158	26100135.0	56
811	T.CS.159	26100135.0	28
812	T.CS.166	26100135.0	56
813	T.CS.168	26100135.0	28
814	T.CS.177	26100135.0	28
815	T.CS.179	26100135.0	56
816	T.CS.180	26100135.0	8
817	T.FS.CS.005	26100135.0	56
818	T.FS.CS.006	26100135.0	28
819	CS.031	26100150.0	170.1
820	CS.036	26100150.0	134
821	CS.096	26100150.0	85.05
822	CS.097	26100150.0	28.35
823	CS.102	26100150.0	85.05
824	L.001.M1	26100150.0	28.35
825	CS.009	26100170.0	170
826	CS.016	26100170.0	255
827	CS.017	26100170.0	850
828	CS.099	26100170.0	170
829	CS.110	26100170.0	170
830	CS.198	26100170.0	85
831	CS.199	26100170.0	85
832	CS.261	26100170.0	170
833	CS.063	26105120.205995	198.45
834	T.CS.178	26107120.203089	56.7
835	T.CS.115	26107160.0	56.7
836	T.CS.116	26107160.0	28.35
837	T.CS.135	26107160.0	56.7
