Food_Item_ID	FoodCode	ModCode	Food Name	Protein (g)	Total Fat (g)	Carbohydrate (g)	Energy (kcal)	Alcohol (g)	Water (g)	Caffeine (mg)	Theobromine (mg)	Total Sugars (g)	Total Dietary Fiber (g)
642	24127160	205835	Chicken, breast, boneless, skinless, baked, breaded, breading not eaten	32.1199	4.0198	0	171	0	61.27	0	0	0	0
643	24132210	0	Chicken, leg quarter (drumstick and thigh), baked, skin eaten	23.35	11.9499	0.02	205	0	63.67	0	0	0	0
5322	24132219	0	Chicken, raw, leg quarter (drumstick and thigh), with skin	10.0925	3.7757	0	77.28	0	28.0307	0	0	0	0
644	24132220	0	Chicken, leg quarter (drumstick and thigh), baked, skin not eaten	24.3798	6.6699	0	162	0	67.9599	0	0	0	0
5323	24132229	0	Chicken, raw, leg quarter (drumstick and thigh), with skin, skin removed	10.7777	3.471	0	77.43	0	30.122	0	0	0	0
645	24133210	0	Chicken, leg quarter (drumstick and thigh), stewed, skin eaten	23.1498	12.58	0.05	211	0	64	0	0	0	0
646	24133220	0	Chicken, leg quarter (drumstick and thigh), stewed, skin not eaten	25.0598	7.5	0	173	0	66.87	0	0	0	0
647	24134210	0	Chicken, leg quarter (drumstick and thigh), fried in shortening, skin eaten	25.98	15.24	0.19	246	0	57.27	0	0	0	0
648	24134210	205372	Chicken, leg quarter (drumstick and thigh), fried in oil, skin eaten	25.98	15.24	0.19	246	0	57.27	0	0	0	0
649	24134220	0	Chicken, leg quarter (drumstick and thigh), fried in shortening, skin not eaten	27.6099	9.22	0	198	0	62.09	0	0	0	0
650	24134220	205432	Chicken, leg quarter (drumstick and thigh), fried in oil, skin not eaten	27.6099	9.22	0	198	0	62.09	0	0	0	0
651	24137210	0	Chicken, leg quarter (drumstick and thigh), fried in shortening, breaded, skin/breading eaten	20.8	16.5598	9.14	272	0	52.3999	0	0	0.2	0.3
652	24137210	205348	Chicken, leg quarter (drumstick and thigh), fried in oil, breaded, skin/breading eaten	20.8	16.57	9.14	272	0	52.3999	0	0	0.2	0.3
653	24137210	205685	Chicken, leg quarter (drumstick and thigh), baked, breaded, skin/breading eaten	20.82	14.18	9.14	252	0	54.7599	0	0	0.2	0.3
654	24137220	0	Chicken, leg quarter (drumstick and thigh), fried in shortening, breaded, skin/breading not eaten	27.6099	9.22	0	198	0	62.09	0	0	0	0
655	24137220	205406	Chicken, leg quarter (drumstick and thigh), fried in oil, breaded, skin/breading not eaten	27.6099	9.22	0	198	0	62.09	0	0	0	0
656	24137220	207129	Chicken, leg quarter (drumstick and thigh), baked, breaded, skin/breading not eaten	28.34	5.5198	0	168	0	65.0199	0	0	0	0
657	24137250	0	Chicken, leg quarter (drumstick and thigh), fried in shortening, skinless, breaded, breading eaten	22.3298	11.6999	8.6699	233	0	56.3699	0	0	0.19	0.3
658	24137250	205544	Chicken, leg quarter (drumstick and thigh), fried in oil, skinless, breaded, breading eaten	22.3298	11.6999	8.6699	233	0	56.3699	0	0	0.19	0.3
659	24137260	0	Chicken, leg quarter (drumstick and thigh), fried in shortening, skinless, breaded, breading not eaten	27.6099	9.22	0	198	0	62.09	0	0	0	0
660	24142210	0	Chicken, drumstick, baked, skin eaten	23.5598	9.72	0.02	186	0	65.7099	0	0	0	0
5324	24142219	0	Chicken, raw, drumstick, with skin	11.0642	4.8803	0	91.14	0	32.9377	0	0	0	0
661	24142220	0	Chicken, drumstick, baked, skin not eaten	24.3599	5.44	0	151	0	69.2198	0	0	0	0
5325	24142229	0	Chicken, raw, drumstick, with skin, skin removed	9.5775	2.2509	0	61.0899	0	29.0524	0	0	0	0
662	24143210	0	Chicken, drumstick, stewed, skin eaten	23.9898	10.57	0.04	196	0	65.1598	0	0	0	0
663	24143220	0	Chicken, drumstick, stewed, skin not eaten	25.93	5.8498	0	162	0	67.79	0	0	0	0
664	24144210	0	Chicken, drumstick, fried in shortening, skin eaten	25.6099	15.42	0.11	246	0	57.68	0	0	0	0
665	24144210	205539	Chicken, drumstick, fried in oil, skin eaten	25.6099	15.42	0.11	246	0	57.68	0	0	0	0
666	24144220	0	Chicken, drumstick, fried in shortening, skin not eaten	27.23	8.13	0	186	0	63.56	0	0	0	0
667	24144220	205371	Chicken, drumstick, fried in oil, skin not eaten	27.23	8.13	0	187	0	63.56	0	0	0	0
668	24147210	0	Chicken, drumstick, fried in shortening, breaded, skin/breading eaten	22.1298	14.83	6.79	253	0	55.1899	0	0	0.15	0.2
669	24147210	205362	Chicken, drumstick, fried in oil, breaded, skin/breading eaten	22.1298	14.84	6.79	253	0	55.1899	0	0	0.15	0.2
670	24147210	205533	Chicken, drumstick, baked, breaded, skin/breading eaten	23.27	8.1699	7.1398	200	0	60.32	0	0	0.16	0.2
671	24147220	0	Chicken, drumstick, fried in shortening, breaded, skin/breading not eaten	27.23	8.13	0	186	0	63.56	0	0	0	0
672	24147220	205464	Chicken, drumstick, fried in oil, breaded, skin/breading not eaten	27.23	8.13	0	187	0	63.56	0	0	0	0
673	24147220	206578	Chicken, drumstick, baked, breaded, skin/breading not eaten	27.8298	5.1398	0	163	0	65.92	0	0	0	0
6168	24147230	0	Fried chicken, drumstick, fast food, skin/breading eaten	21.1298	16.92	7.5899	267	0	51.92	0	0	0	0.5
6169	24147235	0	Fried chicken, drumstick, fast food, skin/breading not eaten	26.2398	7.41	0	172	0	64.2399	0	0	0	0
674	24147250	0	Chicken, drumstick, fried in shortening, skinless, breaded, breading eaten	22.98	11.02	6.5198	221	0	58.53	0	0	0.14	0.2
675	24147250	205538	Chicken, drumstick, fried in oil, skinless, breaded, breading eaten	22.98	11.0299	6.5198	221	0	58.53	0	0	0.14	0.2
676	24147260	0	Chicken, drumstick, fried in shortening, skinless, breaded, breading not eaten	27.23	8.13	0	186	0	63.56	0	0	0	0
677	24147260	205972	Chicken, drumstick, fried in oil, skinless, breaded, breading not eaten	27.23	8.13	0	187	0	63.56	0	0	0	0
678	24152210	0	Chicken, thigh, baked, skin eaten	23.1298	14.18	0.03	225	0	61.64	0	0	0	0
5326	24152219	0	Chicken, raw, thigh, with skin	11.7676	7.7012	0	119.08	0	32.3752	0	0	0	0
679	24152220	0	Chicken, thigh, baked, skin not eaten	24.3998	7.8898	0	173	0	66.7	0	0	0	0
5327	24152228	0	Chicken, raw, thigh, with skin, skin removed	10.3157	3.556	0	76.1098	0	28.9691	0	0	0	0
5328	24152229	0	Chicken, raw, thigh, boneless, skinless	10.3157	3.556	0	76.1098	0	28.9691	0	0	0	0
680	24153210	0	Chicken, thigh, stewed, skin eaten	22.3	14.58	0.06	225	0	62.84	0	0	0	0
681	24153220	0	Chicken, thigh, stewed, skin not eaten	24.1999	9.16	0	184	0	65.95	0	0	0	0
682	24154210	0	Chicken, thigh, fried in shortening, skin eaten	25.91	16.62	0.27	259	0	55.75	0	0	0	0
683	24154210	205389	Chicken, thigh, fried in oil, skin eaten	25.91	16.62	0.27	259	0	55.75	0	0	0	0
684	24154220	0	Chicken, thigh, fried in shortening, skin not eaten	27.94	10.59	0	212	0	60.38	0	0	0	0
685	24154220	205419	Chicken, thigh, fried in oil, skin not eaten	27.94	10.59	0	212	0	60.38	0	0	0	0
686	24157210	0	Chicken, thigh, fried in shortening, breaded, skin/breading eaten	20.6298	19.92	7.6299	296	0	50.64	0	0	0.16	0.3
687	24157210	205368	Chicken, thigh, fried in oil, breaded, skin/breading eaten	20.6298	19.92	7.6299	296	0	50.64	0	0	0.16	0.3
688	24157210	205845	Chicken, thigh, baked, breaded, skin/breading eaten	21.19	16.5598	7.8399	270	0	53.2	0	0	0.17	0.3
689	24157220	0	Chicken, thigh, fried in shortening, breaded, skin/breading not eaten	27.96	10.46	0	211	0	60.49	0	0	0	0
690	24157220	205683	Chicken, thigh, fried in oil, breaded, skin/breading not eaten	27.96	10.46	0	211	0	60.49	0	0	0	0
691	24157220	205909	Chicken, thigh, baked, breaded, skin/breading not eaten	28.8798	5.91	0	174	0	64.0798	0	0	0	0
6170	24157230	0	Fried chicken, thigh, fast food, skin/breading eaten	18.1999	20.35	9.3498	293	0	49.6099	0	0	0	0.6
6171	24157235	0	Fried chicken, thigh, fast food, skin/breading not eaten	22.9698	9.88	0.25	182	0	64.81	0	0	0	0
692	24157250	0	Chicken, thigh, fried in shortening, skinless, breaded, breading eaten	22.89	11.85	7.75	233	0	56.57	0	0	0.17	0.3
693	24157250	205490	Chicken, thigh, fried in oil, skinless, breaded, breading eaten	21.46	13.7799	10.06	255	0	53.5	0	0	0.22	0.3
694	24157250	206347	Chicken, thigh, baked, skinless, breaded, breading not eaten	24.09	4.8898	8.16	178	0	61.88	0	0	0.18	0.3
695	24157260	0	Chicken, thigh, fried in shortening, skinless, breaded, breading not eaten	27.94	10.59	0	212	0	60.38	0	0	0	0
696	24157260	205400	Chicken, thigh, fried in oil, skinless, breaded, breading not eaten	27.94	10.59	0	212	0	60.38	0	0	0	0
697	24162110	0	Chicken, wing, baked, skin eaten	23.59	16.73	0	252	0	58.9099	0	0	0	0
5329	24162119	0	Chicken, raw, wing, with skin	9.1324	6.6163	0	98.5999	0	18.7136	0	0	0	0
698	24162120	0	Chicken, wing, baked, skin not eaten	30.21	8.06	0	201	0	62.2599	0	0	0	0
5330	24162129	0	Chicken, raw, wing, with skin, skin removed	7.9196	2.1137	0	52.78	0	16.3228	0	0	0	0
699	24163110	0	Chicken, wing, stewed, skin eaten	22.59	16.68	0	247	0	61.6599	0	0	0	0
700	24163120	0	Chicken, wing, stewed, skin not eaten	26.9499	7.12	0	179	0	66.45	0	0	0	0
701	24164110	0	Chicken, wing, fried in shortening, skin eaten	25.78	17.9898	0	272	0	54.4799	0	0	0	0
702	24164110	205387	Chicken, wing, fried in oil, skin eaten	25.78	17.9898	0	272	0	54.4799	0	0	0	0
703	24164120	0	Chicken, wing, fried in shortening, skin not eaten	30.69	9.13	0	213	0	59.77	0	0	0	0
704	24164120	205504	Chicken, wing, fried in oil, skin not eaten	30.69	9.14	0	213	0	59.77	0	0	0	0
705	24167110	0	Chicken, wing, fried in shortening, breaded, skin/breading eaten	19.2898	18.67	11.0398	295	0	49.68	0	0	0.24	0.4
706	24167110	205393	Chicken, wing, fried in oil, breaded, skin/breading eaten	19.2898	18.67	11.0398	295	0	49.68	0	0	0.24	0.4
707	24167110	205831	Chicken, wing, baked, breaded, skin/breading eaten	20.48	11.02	11.72	235	0	55.39	0	0	0.26	0.4
708	24167120	0	Chicken, wing, fried in shortening, breaded, skin/breading not eaten	30.69	9.13	0	213	0	59.77	0	0	0	0
709	24167120	205665	Chicken, wing, fried in oil, breaded, skin/breading not eaten	30.69	9.14	0	213	0	59.77	0	0	0	0
710	24167120	206282	Chicken, wing, baked, breaded, skin/breading not eaten	31.6	5.0899	0	181	0	62.89	0	0	0	0
6172	24167130	0	Fried chicken, wing, fast food, skin/breading eaten	21.34	21.0598	10.93	319	0	43.8699	0	0	0	0.6
6173	24167135	0	Fried chicken, wing, fast food, skin/breading not eaten	28.4898	11.24	3.1099	228	0	54.53	0	0	0	0
711	24170200	0	Chicken, back, cooked	25.73	20.8	0	298	0	53.0799	0	0	0	0
712	24180200	0	Chicken, neck or ribs, cooked	19.4499	17.9499	0	245	0	61.2199	0	0	0	0
6174	24198340	0	Chicken, tail	22.5398	17.35	9.4199	289	0	49.39	0	0	0	0.3
713	24198440	0	Chicken skin, roasted	20.19	40.34	0	450	0	39.96	0	0	0	0
6175	24198500	0	Chicken feet	19.3998	14.6	0.2	215	0	65.7998	0	0	0	0
714	24198570	0	Chicken, canned	25.3	8.0998	0.9	185	0	64.9	0	0	0	0
715	24198700	0	Chicken patty, chicken fillet, or chicken tenders, breaded, cooked (Banquet, Burger King, Weaver, KFC, Tyson, McDonald's)	13.0299	13.81	18.4698	250	0	52.52	0	0	1.24	2.5
716	24198720	0	Chicken, ground, cooked	27.07	13.49	0	237	0	58.96	0	0	0	0
5331	24198729	0	Ground chicken, raw	16.2959	7.6439	0	132.2999	0	45.4438	0	0	0	0
717	24198740	0	Chicken nuggets (McDonald's, Weaver Mini Drums, Tyson Chicken Sticks, Carl's Jr. Chicken Stars)	13.89	18.01	18.6298	292	0	47.2999	0	0	0.91	1.3998
718	24198840	0	Fried chicken chunks, Puerto Rican style	23.27	18.05	20.3298	343	0	36.42	0	0	0.41	0.9
6176	24201020	0	Turkey, cutlet, white meat, cooked, skin not eaten	28.8098	2.06	0	139	0	68.09	0	0	0	0
5332	24201029	0	Turkey, raw, breast, boneless, skinless	20.4407	0.5032	0	91.7998	0	46.512	0	0	0	0
5333	24201039	0	Turkey, raw, breast, bone in, with skin	18.3744	4.7424	0	120.9599	0	40.4607	0	0	0	0
5811	24201049	0	Turkey, breast, whole, roasted	30.1298	2.08	0	147	0	67.8799	0	0	0	0
719	24201120	0	Turkey, white meat, roasted, skin not eaten	28.8098	2.06	0	139	0	68.09	0	0	0	0
720	24201130	0	Turkey, white meat, roasted, skin eaten	28.28	5.5499	0.03	169	0	65.03	0	0	0	0
721	24201220	0	Turkey, dark meat, roasted, skin not eaten	26.94	5.98	0	167	0	65.2399	0	0	0	0
722	24201230	0	Turkey, dark meat, roasted, skin eaten	26.46	10.16	0.05	202	0	61.4799	0	0	0	0
5334	24201239	0	Turkey, raw, leg, bone in, with skin	14.7711	5.2046	0.0689	110.2399	0	32.4307	0	0	0	0
723	24201320	0	Turkey, white and dark meat, roasted, skin not eaten	27.9898	3.7599	0	151	0	66.8598	0	0	0	0
724	24201330	0	Turkey, white and dark meat, roasted, skin eaten	27.48	7.54	0.04	183	0	63.5099	0	0	0	0
6177	24201410	0	Turkey, white and dark meat, stewed, skin not eaten	30.8798	2.94	0	154	0	65.1898	0	0	0.06	0
6178	24201420	0	Turkey white and dark meat, stewed, skin eaten	30.25	8.5198	0.01	203	0	60.1599	0	0	0.06	0
6179	24201510	0	Turkey, white and dark meat, smoked, skin eaten	28.1	9.6998	0	208	0	61.7	0	0	0	0
6180	24201520	0	Turkey, white and dark meat, smoked, skin not eaten	29.3	5	0	170	0	64.9	0	0	0	0
5335	24201998	0	Turkey, raw, whole, skin removed	13.077	1.728	0	71.5498	0	30.015	0	0	0	0
5336	24201999	0	Turkey, raw, whole, with skin	14.5604	3.7688	0.0306	96.39	0	32.3952	0	0	0	0
6181	24202060	0	Turkey, drumstick, roasted, skin not eaten	28.52	3.3799	0	144	0	66.9698	0	0	0	0
6182	24202070	0	Turkey, drumstick, roasted, skin eaten	26.8599	10.07	0	203	0	61.18	0	0	0	0
6183	24202120	0	Turkey, drumstick, smoked, skin eaten	27.8998	9.8	0	208	0	61.2	0	0	0	0
6184	24202460	0	Turkey, thigh, cooked, skin eaten	24.3599	9.2599	0.27	182	0	64.2699	0	0	0	0
6185	24202500	0	Turkey, thigh, cooked, skin not eaten	26.94	5.98	0	161	0	65.2399	0	0	0	0
725	24202600	0	Turkey, neck, cooked	22.2898	7.2999	0	161	0	68.89	0	0	0	0
5337	24202699	0	Turkey, raw, neck, skinless	10.7904	3.5327	0	77.7599	0	33.3455	0	0	0	0
726	24203010	0	Turkey, wing, cooked, skin not eaten	28.8098	2.06	0	139	0	68.09	0	0	0	0
727	24203020	0	Turkey, wing, cooked, skin eaten	26.87	9.97	0	202	0	61.6099	0	0	0	0
6186	24203120	0	Turkey, wing, smoked, skin eaten	27.3998	12.41	0	221	0	59.5	0	0	0	0
6187	24204000	0	Turkey, rolled roast, white and dark meat, cooked	21.32	5.78	3.0699	155	0	67.84	0	0	0	0
728	24205000	0	Turkey, tail, cooked	22.39	27.05	0.14	340	0	48.81	0	0	0	0
6188	24205100	0	Turkey, back, cooked	26.1	13.24	0.1	229	0	58.8599	0	0	0	0
729	24207000	0	Turkey, ground, cooked	27.14	10.31	0	201	0	61.56	0	0	0	0
5338	24207098	0	Ground turkey, raw, 85% lean	17.0748	11.866	0	175.44	0	38.5287	0	0	0	0
5339	24207099	0	Ground turkey, raw, breast	22.183	1.8969	0	105.6999	0	46.0319	0	0	0	0
5683	24207100	0	Ground turkey, 93% or more lean, cooked, no bun	25.8599	11.4499	0	207	0	62.42	0	0	0	0
6189	24208000	0	Turkey nuggets	22.37	8.71	16.3098	233	0	50.6599	0	0	1.37	1.2
730	24208500	0	Turkey bacon, cooked	29.6	27.8998	3.1	382	0	32.6	0	0	0	0
731	24300110	0	Duck, cooked, skin eaten	18.91	28.23	0	336	0	51.6199	0	0	0	0
5340	24300119	0	Duck, raw, with skin	9.6545	14.4131	0	171.3307	0	26.3554	0	0	0	0
732	24300120	0	Duck, cooked, skin not eaten	23.3798	11.15	0	200	0	63.95	0	0	0	0
733	24302010	0	Duck, pressed, Chinese	5.3399	11.63	6.83	153	0	75.18	0	0	5.0899	0.4
734	24311010	0	Goose, wild, roasted	25.0598	21.8298	0	304	0	51.7299	0	0	0	0
735	24401010	0	Cornish game hen, roasted, skin eaten	22.0798	18.0598	0	257	0	58.1899	0	0	0	0
736	24401020	0	Cornish game hen, roasted, skin not eaten	23.1099	3.8399	0	133	0	71.2998	0	0	0	0
737	24402100	0	Dove, (squab, pigeon), cooked	23.8	12.9499	0	212	0	61.74	0	0	0	0
738	24402110	0	Dove, (squab, pigeon), fried	23.0598	13.82	1.4398	223	0	60.2299	0	0	0.12	0
739	24403100	0	Quail, cooked	25	14.0398	0	226	0	59.75	0	0	0	0
740	24404100	0	Pheasant, cooked	32.2599	12.05	0	238	0	53.9699	0	0	0	0
741	25110120	0	Liver, beef, braised	28.84	5.2199	5.0899	189	0	58.32	0	0	0	0
5341	25110129	0	Liver, beef, raw	20.3558	3.6819	3.5909	133.6999	0	41.167	0	0	0	0
742	25110140	0	Liver, beef, fried	26.3	4.6398	5.12	174	0	61.5	0	0	0	0
743	25110420	0	Liver, chicken, braised	24.26	6.4599	0.86	166	0	66.26	0	0	0	0
5342	25110429	0	Liver, chicken, raw	15.9835	3.9864	0.6882	106.64	0	40.4363	0	0	0	0
744	25110450	207088	Liver, chicken, fried in meat drippings	20.05	8.4199	6.41	188	0	62.8599	0	0	0.02	0.2
745	25112200	0	Liver, chicken, pate	13.4499	13.1	6.5499	201	0	65.64	0	0	0	0
746	25120000	0	Heart, cooked	28.2398	4.69	0.15	164	0	65.12	0	0	0	0
5343	25120099	0	Chicken, raw, heart	15.3177	4.5934	0.0579	107.3	0	37.6129	0	0	0	0
747	25130000	0	Kidney, cooked	27.0398	4.61	0	157	0	66.3199	0	0	0	0
748	25140110	0	Sweetbreads, cooked	22.48	3.08	0	124	0	73.0199	0	0	0	0
749	25150000	0	Brains, cooked	11.57	10.44	1.47	150	0	74.2399	0	0	0	0
750	25160000	0	Tongue, cooked	19.1298	22.1099	0	282	0	57.39	0	0	0	0
751	25170110	0	Tripe, cooked	12.6	3.85	0	89	0	82.59	0	0	0	0
752	25170210	0	Chitterlings, cooked	12.39	20.1498	0	231	0	67.31	0	0	0	0
753	25170310	0	Hog maws, (pig stomach), cooked	26.52	15.96	0	250	0	56.9699	0	0	0	0
754	25170420	0	Gizzard, cooked	30.14	2.66	0	153	0	67.37	0	0	0	0
5344	25170429	0	Chicken, raw, gizzards 	17.6262	1.5544	0	89.3199	0	39.3994	0	0	0	0
755	25210150	0	Hot dog, frankfurter, cheese-filled	14.92	30.1498	1.4599	342	0	50.25	0	0	1.61	0
756	25210210	0	Hot dog, frankfurter, beef	11.8698	29.0398	3.5699	327	0	52.06	0	0	1.3898	0
757	25210220	0	Hot dog, frankfurter, beef and pork	12.27	28.34	1.83	315	0	54.21	0	0	0	0
758	25210230	0	Hot dog, frankfurter, beef and pork, lowfat	11.58	10.5299	4.6299	160	0	69.79	0	0	0	0
759	25210250	0	Hot dog, frankfurter, meat and poultry, fat free	13.16	1.6698	11.8	115	0	70	0	0	0	0
760	25210280	0	Hot dog, frankfurter, meat and poultry	10.34	24.66	5.3399	285	0	55.9399	0	0	2.93	0
761	25210310	0	Hot dog, frankfurter, chicken	16.5	16.16	2.9199	228	0	61.17	0	0	0.56	0.4
762	25210410	0	Hot dog, frankfurter, turkey	13.01	17.3298	4.0499	228	0	61.6899	0	0	1.29	0
763	25210610	0	Hot dog, frankfurter, beef, lowfat	12.77	19.68	1.7	235	0	62.5499	0	0	0	0
764	25210700	0	Hot dog, frankfurter, meat and poultry, lowfat	15.5	2.7999	8.4	121	0	69.9	0	0	0	0.1
6190	25220106	0	Sausage, beef, reduced fat	20.94	20.32	0.15	267	0	55.88	0	0	0	0
765	25220110	0	Sausage, beef, brown and serve, cooked	15.5	37.57	0.03	405	0	43.75	0	0	0	0
766	25220130	0	Sausage, half smoke	11.0399	29.0799	3.99	324	0	52.7199	0	0	2.54	0
767	25220140	0	Sausage, beef, cooked	18.21	27.98	0.35	332	0	51.1199	0	0	0	0
768	25220150	0	Sausage, smoked, beef with cheese	15.76	36.99	0.4	402	0	43.34	0	0	0.23	0
769	25220210	0	Sausage, blood pudding	14.6	34.5	1.29	379	0	47.2999	0	0	1.29	0
770	25220310	0	Sausage, bockwurst	18.96	20.3599	3.99	275	0	53.07	0	0	1.8	1.3999
771	25220350	0	Sausage, bratwurst, pork, cooked	13.72	29.18	2.85	333	0	51.45	0	0	0	0
772	25220360	0	Sausage, bratwurst, with cheese	14.16	29.44	2.94	337	0	50.27	0	0	0.23	0
5509	25220370	0	Bratwurst, beef, cooked	13.72	29.18	2.85	333	0	51.45	0	0	0	0
773	25220390	0	Bologna, beef, lowfat	11.8	14.8	5.2	204	0	65	0	0	0	0
774	25220400	0	Bologna, pork and beef	15.1999	24.59	5.49	308	0	51.8699	0	0	4.4199	0
775	25220420	0	Bologna, Lebanon	19.03	10.44	0.44	172	0	65.7699	0	0	0	0
776	25220430	0	Bologna, beef	10.91	26.1298	4.29	299	0	55.31	0	0	2.0499	0
777	25220440	0	Bologna, turkey (chicken)	11.42	16.05	4.6799	209	0	64.5498	0	0	2.8999	0.5
6191	25220450	0	Bologna, ring, smoked	15.1999	24.59	5.49	308	0	51.8699	0	0	4.4199	0
6192	25220460	0	Bologna, pork	15.3	19.87	0.73	247	0	60.6	0	0	0	0
778	25220470	0	Bologna, beef, low sodium (low salt)	11.6999	28.3998	2	310	0	54.7999	0	0	0	0
6193	25220480	0	Bologna, chicken, beef, and pork	13.9499	21.77	5.2199	275	0	56.0499	0	0	3.9199	0.2
779	25220500	0	Bologna, beef and pork, lowfat	11.5	19.3	2.6	230	0	63.3999	0	0	0	0
780	25220510	0	Capicola	16.93	3.5	0.97	131	0	75.03	0	0	0	0
781	25220610	0	Cervelat, soft	17.4499	30.43	3.33	362	0	45.18	0	0	0.85	0
782	25220650	0	Sausage, smoked, chicken and beef	18.5	24	0	295	0	55.6	0	0	0	0
783	25220710	0	Sausage, chorizo	24.1	38.27	1.86	455	0	31.85	0	0	0	0
784	25220910	0	Head cheese	13.83	10.9	0	157	0	73.84	0	0	0	0
785	25221110	0	Knockwurst	11.1	27.6999	3.2	307	0	55.2999	0	0	0	0
786	25221210	0	Mortadella	16.37	25.39	3.0499	311	0	52.2999	0	0	0	0
787	25221250	0	Pepperoni	22.68	43.9799	0	494	0	30.7198	0	0	0	0
788	25221310	0	Sausage, Polish (Kielbasa)	12.4499	29.68	5.03	337	0	49.38	0	0	2.39	0
789	25221350	0	Sausage, pork, Italian, cooked	19.12	27.3098	4.2698	344	0	47.13	0	0	0.86	0.1
5345	25221359	0	Sausage, raw, pork, Italian	11.8544	16.932	2.6473	213.28	0	29.2206	0	0	0.5332	0.062
6194	25221406	0	Sausage, pork, reduced fat	20.94	20.32	0.15	267	0	55.88	0	0	0	0
790	25221410	0	Sausage, pork, cooked	19.43	28.3599	0	339	0	49.78	0	0	0	0
791	25221420	0	Sausage, pork, brown and serve, cooked	14.49	35.0399	0	378	0	47.9699	0	0	0	0
792	25221450	0	Sausage, pork and rice, brown and serve, cooked	13.6999	37.63	2.3599	407	0	44.1	0	0	0	0
793	25221470	0	Sausage, pork and beef, brown and serve, cooked	13.8	36.25	2.7	396	0	44.5499	0	0	0	0
794	25221480	0	Sausage, mettwurst	12.23	27.2899	2.81	309	0	54.5799	0	0	1.6	0
795	25221510	0	Salami, soft, cooked	21.85	25.8998	2.3999	336	0	45.1899	0	0	0.96	0
796	25221520	0	Salami, dry or hard	20.8798	31.8098	0.6	378	0	41.4399	0	0	0.24	0
797	25221530	0	Salami, beef	12.6	22.1999	1.8998	261	0	60	0	0	1.5	0
798	25221610	0	Scrapple, cooked	8.57	14.76	14.96	227	0	60.07	0	0	0.21	0.3
799	25221650	0	Sausage, smoked, pork	11.98	28.23	0.18	307	0	56.49	0	0	0.94	0
800	25221660	0	Sausage, smoked, pork and beef	12	28.73	2.4199	320	0	53.9699	0	0	0	0
801	25221710	0	Sausage, souse	11.34	8.9398	0	129	0	78.53	0	0	0	0
802	25221810	0	Sausage, Thuringer	17.4499	30.43	3.33	362	0	45.18	0	0	0.85	0
6195	25221830	0	Sausage, chicken, cooked	15.42	18.09	1.56	235	0	63.1199	0	0	0	0
803	25221840	0	Sausage, turkey, cooked	15.42	18.09	1.56	235	0	63.1199	0	0	0	0
5346	25221849	0	Sausage, raw, turkey	18.3952	8.0388	0	150.9199	0	50.0962	0	0	0	0
804	25221850	0	Sausage, smoked, turkey	15.05	8.75	4.65	158	0	68.5	0	0	3.2	0.9
805	25221860	0	Sausage, turkey, reduced fat, brown and serve, cooked	17	10.3	10.92	204	0	59.59	0	0	0	0.3
806	25221870	0	Sausage, turkey and pork, cooked	22.6999	23	0.7	307	0	50.8999	0	0	0	0
807	25221880	0	Sausage, smoked, turkey, pork, and beef, reduced fat	18.6	16.8	2.6	241	0	59.2	0	0	0	0
808	25221890	0	Sausage, smoked, turkey, pork, and beef, lowfat	8	2.5	11.5399	101	0	76.2999	0	0	0	0.6
809	25221910	0	Vienna sausage, chicken, beef, and pork, canned	10.5	19.3998	2.6	230	0	64.9	0	0	0	0
810	25221920	0	Vienna sausage, chicken, canned	15.51	16.19	2.74	223	0	62.5	0	0	0.53	0.4
811	25221950	0	Sausage, pickled	13.69	35.96	2.68	393	0	44.2	0	0	0	0
812	25230210	0	Ham, luncheon meat, prepackaged or deli	16.93	3.5	0.97	131	0	75.03	0	0	0	0
813	25230220	0	Ham, luncheon meat, prepackaged or deli, low salt	22	7.7	0.5	165	0	65.7998	0	0	0	0
814	25230230	0	Ham, luncheon meat, prepackaged or deli, extra lean	16.93	3.5	0.97	131	0	75.03	0	0	0	0
6196	25230235	0	Ham, luncheon meat, prepackaged or deli, extra lean, low sodium	16.93	3.5	0.97	131	0	75.03	0	0	0	0
815	25230310	0	Chicken loaf (turkey loaf), luncheon meat, prepackaged or deli	16.4499	2.25	3.2799	100	0	75.7399	0	0	3.2799	0
816	25230430	0	Ham and cheese loaf	13.6	18.6999	4	241	0	60.2999	0	0	0	0
817	25230530	0	Ham and pork, luncheon meat, chopped, minced, pressed, spiced, canned (Spam, Treet)	13.4	26.6	4.5998	315	0	51.7	0	0	0	0
818	25230540	0	Ham, pork and chicken, luncheon meat, chopped, minced, pressed, spiced, canned (Spam Lite)	15.23	13.9	1.35	196	0	65.7198	0	0	1.26	0
819	25230550	0	Ham, pork, and chicken, luncheon meat, chopped, minced, pressed, spiced, canned, reduced sodium (Spam 25% Less Salt)	12.5	25.1	3.3999	293	0	55.5	0	0	0	0
820	25230560	0	Liverwurst (Braunschweiger)	14.5	28.5	3.1	327	0	50.6	0	0	0	0
821	25230610	0	Luncheon loaf (olive, pickle, or pimiento)	11.52	16.23	8.83	230	0	59.24	0	0	4.23	0.8
822	25230790	0	Turkey ham, luncheon meat, prepackaged or deli, extra lean	19.6	3.7999	2.93	124	0	72	0	0	0	0
823	25230800	0	Turkey ham, luncheon meat, prepackaged or deli	17.5	4.8399	2.04	126	0	71.92	0	0	1.4298	0.2
