Food.code	taxonomy	Description
27345220	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_gravy_mixture	Chicken or turkey rice and vegetables excluding carrots broccoli and darkgreen leafy gravy mixture
27345230	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_corn_and_cheese_with_gravy	Chicken or turkey rice corn and cheese with gravy
27345310	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_soybased_sauce_mixture	Chicken or turkey rice and vegetables including carrots broccoli andor darkgreen leafy soybased sauce mixture
27345320	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_soybased_sauce_mixture	Chicken or turkey rice and vegetables excluding carrots broccoli and darkgreen leafy soybased sauce mixture
27345410	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_cream_sauce_white_sauce_or_mushroom_soupbased_sauce_mixture	Chicken or turkey rice and vegetables including carrots broccoli andor darkgreen leafy cream sauce white sauce or mushroom soupbased sauce mixture
27345420	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_cream_sauce_white_sauce_or_mushroom_soupbased_sauce_mixture	Chicken or turkey rice and vegetables excluding carrots broccoli and darkgreen leafy cream sauce white sauce or mushroom soupbased sauce mixture
27345440	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_cheese_sauce_mixture	Chicken or turkey rice and vegetables including carrots broccoli andor darkgreen leafy cheese sauce mixture
27345450	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_cheese_sauce_mixture	Chicken or turkey rice and vegetables excluding carrots broccoli and darkgreen leafy cheese sauce mixture
27345510	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_tomatobased_sauce_mixture	Chicken or turkey rice and vegetables including carrots broccoli andor darkgreen leafy tomatobased sauce mixture
27345520	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_tomatobased_sauce_mixture	Chicken or turkey rice and vegetables excluding carrots broccoli and darkgreen leafy tomatobased sauce mixture
27347100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_pot_pie	Chicken or turkey pot pie
27347200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_stuffing_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_sauce_mixture	Chicken or turkey stuffing and vegetables including carrots broccoli andor darkgreen leafy no sauce mixture
27347210	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkeystuffing_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_sauce_mixture	Chicken or turkeystuffing and vegetables excluding carrots broccoli and dark green leafy no sauce mixture
27347220	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_stuffing_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_gravy_mixture	Chicken or turkey stuffing and vegetables including carrots broccoli andor darkgreen leafy gravy mixture
27347230	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_stuffing_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_gravy_mixture	Chicken or turkey stuffing and vegetables excluding carrots broccoli and darkgreen leafy gravy mixture
27347240	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_dumplings_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_gravy_mixture	Chicken or turkey dumplings and vegetables including carrots broccoli andor dark green leafy gravy mixture
27347250	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_or_turkey_dumplings_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_gravy_mixture	Chicken or turkey dumplings and vegetables excluding carrots broccoli and dark green leafy gravy mixture
27348100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Poultry_with_starch_and_vegetable;L5_;Chicken_fricassee_Puerto_Rican_style_Fricase_de_pollo	Chicken fricassee Puerto Rican style Fricase de pollo
27350020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Paella_with_seafood	Paella with seafood
27350030	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Seafood_stew_with_potatoes_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_tomatobase_sauce	Seafood stew with potatoes and vegetables excluding carrots broccoli and darkgreen leafy tomatobase sauce
27350050	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Shrimp_chow_mein_or_chop_suey_with_noodles	Shrimp chow mein or chop suey with noodles
27350060	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Shrimp_creole_with_rice	Shrimp creole with rice
27350070	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Tuna_pot_pie	Tuna pot pie
27350080	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Tuna_noodle_casserole_with_vegetables_cream_or_white_sauce	Tuna noodle casserole with vegetables cream or white sauce
27350090	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Fish_noodles_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_cheese_sauce_mixture	Fish noodles and vegetables including carrots broccoli andor dark green leafy cheese sauce mixture
27350100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Fish_noodles_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_cheese_sauce_mixture	Fish noodles and vegetables excluding carrots broccoli and darkgreen leafy cheese sauce mixture
27350110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Bouillabaisse	Bouillabaisse
27350200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Oyster_pie	Oyster pie
27350310	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Seafood_stew_with_potatoes_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_tomatobase_sauce	Seafood stew with potatoes and vegetables including carrots broccoli andor darkgreen leafy tomatobase sauce
27350410	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Tuna_noodle_casserole_with_vegetables_and_mushroom_soup	Tuna noodle casserole with vegetables and mushroom soup
27351010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Codfish_with_starchy_vegetables_Puerto_Rican_style_Serenata_de_bacalao_mixture	Codfish with starchy vegetables Puerto Rican style Serenata de bacalao mixture
27351020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Codfish_salad_Puerto_Rican_style_Gazpacho_de_bacalao	Codfish salad Puerto Rican style Gazpacho de bacalao
27351030	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Stewed_codfish_Puerto_Rican_style_Bacalao_guisado	Stewed codfish Puerto Rican style Bacalao guisado
27351040	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Biscayne_codfish_Puerto_Rican_style_Bacalao_a_la_Vizcaina	Biscayne codfish Puerto Rican style Bacalao a la Vizcaina
27351050	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Fish_shellfish_with_starch_and_vegetable;L5_;Codfish_salad_Puerto_Rican_style_Ensalada_de_bacalao	Codfish salad Puerto Rican style Ensalada de bacalao
27360000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Stew_NFS	Stew NFS
27360010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Goulash_NFS	Goulash NFS
27360050	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Meat_pie_NFS	Meat pie NFS
27360080	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Chow_mein_or_chop_suey_NS_as_to_type_of_meat_with_noodles	Chow mein or chop suey NS as to type of meat with noodles
27360090	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Paella_NFS	Paella NFS
27360100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Brunswick_stew	Brunswick stew
27360120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Chow_mein_or_chop_suey_various_types_of_meat_with_noodles	Chow mein or chop suey various types of meat with noodles
27361010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Stewed_variety_meats_Puerto_Rican_style_mostly_liver_Gandinga	Stewed variety meats Puerto Rican style mostly liver Gandinga
27362000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Stewed_tripe_Puerto_Rican_style_with_potatoes_Mondongo	Stewed tripe Puerto Rican style with potatoes Mondongo
27363000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Gumbo_with_rice_New_Orleans_type_with_shellfish_pork_andor_poultry_tomatoes_okra_rice	Gumbo with rice New Orleans type with shellfish pork andor poultry tomatoes okra rice
27363100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item_and_vegetables;L4_Miscellaneous_meats_with_starch_and_vegetable;L5_;Jambalaya_with_meat_and_rice	Jambalaya with meat and rice
27410210	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_no_sauce_mixture	Beef and vegetables including carrots broccoli andor darkgreen leafy no potatoes no sauce mixture
27410220	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_no_potatoes_no_sauce_mixture	Beef and vegetables excluding carrots broccoli and darkgreen leafy no potatoes no sauce mixture
27410250	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_shish_kabob_with_vegetables_excluding_potatoes	Beef shish kabob with vegetables excluding potatoes
27411100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_with_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_tomatobased_sauce_mixture	Beef with vegetables including carrots broccoli andor darkgreen leafy no potatoes tomatobased sauce mixture
27411120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Swiss_steak	Swiss steak
27411150	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_rolls_stuffed_with_vegetables_or_meat_mixture_tomatobased_sauce	Beef rolls stuffed with vegetables or meat mixture tomatobased sauce
27411200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_with_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_no_potatoes_tomatobased_sauce_mixture	Beef with vegetables excluding carrots broccoli and darkgreen leafy no potatoes tomatobased sauce mixture
27414100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_with_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_mushroom_soup_mixture	Beef with vegetables including carrots broccoli andor darkgreen leafy no potatoes mushroom soup mixture
27414200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_with_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_no_potatoes_mushroom_soup_mixture	Beef with vegetables excluding carrots broccoli and darkgreen leafy no potatoes mushroom soup mixture
27415100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_soybased_sauce_mixture	Beef and vegetables including carrots broccoli andor darkgreen leafy no potatoes soybased sauce mixture
27415110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_broccoli	Beef and broccoli
27415120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_tofu_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_soybased_sauce_mixture	Beef tofu and vegetables including carrots broccoli andor darkgreen leafy no potatoes soybased sauce mixture
27415130	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Szechuan_beef	Szechuan beef
27415140	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Hunan_beef	Hunan beef
27415150	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_chow_mein_or_chop_suey_no_noodles	Beef chow mein or chop suey no noodles
27415170	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Kung_Pao_beef	Kung Pao beef
27415200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_no_potatoes_soybased_sauce_mixture	Beef and vegetables excluding carrots broccoli and darkgreen leafy no potatoes soybased sauce mixture
27415220	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_tofu_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_no_potatoes_soybased_sauce_mixture	Beef tofu and vegetables excluding carrots broccoli and darkgreen leafy no potatoes soybased sauce mixture
27416100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_Hawaiian_style_mixture	Beef and vegetables Hawaiian style mixture
27416150	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Pepper_steak	Pepper steak
27416200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_ground_with_egg_and_onion_mixture	Beef ground with egg and onion mixture
27416250	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_salad	Beef salad
27416300	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_taco_filling_beef_cheese_tomato_taco_sauce	Beef taco filling beef cheese tomato taco sauce
27416400	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Sukiyaki_stir_fried_beef_and_vegetables_in_soy_sauce	Sukiyaki stir fried beef and vegetables in soy sauce
27416450	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_gravy_mixture	Beef and vegetables including carrots broccoli andor darkgreen leafy no potatoes gravy mixture
27416500	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_and_vegetables_excluding_carrots_broccoli_and_darkgreen_leafy_no_potatoes_gravy_mixture	Beef and vegetables excluding carrots broccoli and darkgreen leafy no potatoes gravy mixture
27418110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Seasoned_shredded_soup_meat_Ropa_vieja_sopa_de_carne_ripiada	Seasoned shredded soup meat Ropa vieja sopa de carne ripiada
27418210	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Puerto_Rican_style_beef_stew_with_vegetables_excluding_potatoes_Carne_a_la_Judia	Puerto Rican style beef stew with vegetables excluding potatoes Carne a la Judia
27418310	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Corned_beef_with_tomato_sauce_and_onion_Puerto_Rican_style_mixture	Corned beef with tomato sauce and onion Puerto Rican style mixture
27418410	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Beef_with_vegetable_no_potatoes;L5_;Beef_steak_with_onions_Puerto_Rican_style_mixture_Biftec_encebollado	Beef steak with onions Puerto Rican style mixture Biftec encebollado
27420010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Cabbage_with_ham_hocks_mixture	Cabbage with ham hocks mixture
27420020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Ham_or_pork_salad	Ham or pork salad
27420040	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Frankfurters_or_hot_dogs_and_sauerkraut_mixture	Frankfurters or hot dogs and sauerkraut mixture
27420060	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Pork_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_no_sauce_mixture	Pork and vegetables including carrots broccoli andor darkgreen leafy no potatoes no sauce mixture
27420080	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Greens_with_ham_or_pork_mixture	Greens with ham or pork mixture
27420100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Pork_tofu_and_vegetables_including_carrots_broccoli_andor_darkgreen_leafy_no_potatoes_soybase_sauce_mixture	Pork tofu and vegetables including carrots broccoli andor darkgreen leafy no potatoes soybase sauce mixture
27420110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Pork_and_vegetables_Hawaiian_style_mixture	Pork and vegetables Hawaiian style mixture
27420120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Pork_and_watercress_with_soybased_sauce_mixture	Pork and watercress with soybased sauce mixture
27420150	L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meat_poultry_fish_with_vegetables;L4_Pork_with_vegetable_no_potatoes;L5_;Kung_Pao_pork	Kung Pao pork
