FoodCode	ModCode	Main.food.description	Old.Main.food.description	FoodID
26113160	0	Eel_steamed_or_poached	Eel, steamed or poached	26113160.0
26115009	0	Fish_flatfish_flounder_or_sole_raw_fillet	Fish, flatfish, (flounder or sole), raw, fillet	26115009.0
26117120	100596	Haddock_pollock_scrod_monkfish_baked_or_broiled_without_fat	Haddock, (pollock, scrod, monkfish), baked or broiled without fat	26117120.100596
26117140	100866	Haddock_pollock_scrod_monkfish_floured_or_breaded_fried_in_oil	Haddock, (pollock, scrod, monkfish), floured or breaded, fried in oil	26117140.100866
26117160	0	Haddock_pollock_scrod_monkfish_steamed_or_poached	Haddock, (pollock, scrod, monkfish), steamed or poached	26117160.0
26125140	100975	Ocean_perch_rockfish_orange_roughy_floured_or_breaded_fried_in_oil	Ocean perch, (rockfish, orange roughy), floured or breaded, fried in oil	26125140.100975
26137100	0	Salmon_raw_sashimi_	Salmon, raw (sashimi)	26137100.0
26137120	201437	Salmon_baked_or_broiled_without_fat	Salmon, baked or broiled, without fat	26137120.201437
26139180	0	Sardines_canned_in_oil	Sardines, canned in oil	26139180.0
26139190	0	Sardines_skinless_boneless_packed_in_water	Sardines, skinless, boneless, packed in water	26139190.0
26155180	0	Tuna_canned_oil_packed	Tuna, canned, oil packed	26155180.0
26155190	0	Tuna_canned_water_packed	Tuna, canned, water packed	26155190.0
26158010	206952	Tilapia_baked_or_broiled_without_fat	Tilapia, baked or broiled, without fat	26158010.206952
26158030	101355	Tilapia_floured_or_breaded_fried_in_oil	Tilapia, floured or breaded, fried in oil	26158030.101355
26203160	0	Frog_legs_steamed	Frog legs, steamed	26203160.0
26213140	205480	Squid_calimari_breaded_fried_in_oil	Squid, (calimari), breaded, fried in oil	26213140.205480
26213160	0	Squid_calimari_steamed_or_boiled	Squid, (calimari), steamed or boiled	26213160.0
26305128	0	Crab_raw_blue	Crab, raw, blue	26305128.0
26311160	0	Lobster_steamed_or_boiled	Lobster, steamed or boiled	26311160.0
26313160	0	Mussels_steamed_or_poached	Mussels, steamed or poached	26313160.0
26317120	202359	Scallops_baked_broiled_or_grilled_without_fat	Scallops, baked, broiled, or grilled, without fat	26317120.202359
26319120	0	Shrimp_baked_broiled_or_grilled_with_margarine	Shrimp, baked, broiled, or grilled, with margarine	26319120.0
26319120	202863	Shrimp_baked_broiled_or_grilled_without_fat	Shrimp, baked, broiled, or grilled, without fat	26319120.202863
26319129	0	Shrimp_raw	Shrimp, raw	26319129.0
26319130	0	Shrimp_steamed_or_boiled	Shrimp, steamed or boiled	26319130.0
26319140	201330	Shrimp_floured_breaded_or_battered_fried_in_oil	Shrimp, floured, breaded, or battered, fried in oil	26319140.201330
26319170	0	Shrimp_dried	Shrimp, dried	26319170.0
26321110	0	Snails_cooked_with_butter	Snails, cooked with butter	26321110.0
27111410	0	Chili_con_carne_with_beans	Chili con carne with beans	27111410.0
27111420	0	Chili_with_beef	Chili, with beef	27111420.0
27116100	0	Beef_curry	Beef curry	27116100.0
27120060	0	Sweet_and_sour_pork	Sweet and sour pork	27120060.0
